metric	observed	null_mean	null_sd	null_median	null_025	null_95	null_975	empirical_one_sided_p	monte_carlo_se	permutations
mean_abs_asymmetry	0.13379898316144578	0.11139212864797585	0.01435358657324988	0.11106287059058612	0.08428782273906046	0.1356820605874303	0.1392103445340148	0.06596701649175413	0.005549079966015156	2000
median_abs_asymmetry	0.11660526129156085	0.09161108243504612	0.017115468368534704	0.09078881310395395	0.05960549393788025	0.12087863916208982	0.1272335999334639	0.079960019990005	0.006063400463766969	2000
pairs_ge_0_10	20.0	16.4965	2.8863737330192243	17.0	11.0	21.0	22.0	0.1519240379810095	0.008024298576726374	2000
pairs_ge_0_20	8.0	5.5535	2.073231027513992	5.0	2.0	9.0	10.0	0.175912043978011	0.0085115964861695	2000
max_abs_asymmetry	0.3922619047619048	0.36157090917423024	0.07712373879435339	0.3534902597402597	0.24012504607535007	0.5027777777777778	0.533770743145743	0.30634682658670664	0.01030515046714046	2000
