index	mean_abs_asymmetry	median_abs_asymmetry	pairs_ge_0_10	pairs_ge_0_20	max_abs_asymmetry
1	0.088678339353222	0.0744116994116994	15	2	0.2213039485766758
2	0.1294213936326079	0.12461219336219334	22	6	0.4506410256410257
3	0.1116703311685706	0.09259490509490514	16	9	0.3119047619047619
4	0.12003536784266616	0.12125374625374627	19	6	0.28055555555555556
5	0.10770008566503447	0.07587072018890201	13	6	0.3277777777777777
6	0.11404523200831353	0.08997183372183368	17	7	0.28685064935064924
7	0.0963411700927706	0.07934983639208984	11	4	0.4087301587301587
8	0.11682085120385374	0.10145410145410144	18	6	0.4361111111111111
9	0.11695339750984224	0.07412490411850203	16	7	0.3744588744588745
10	0.12770360004674985	0.11241917315860972	21	6	0.3728896103896104
11	0.1050974762855898	0.07047176308539943	15	6	0.37103174603174593
12	0.11163605866043978	0.08542257820426838	15	8	0.38333333333333325
13	0.11535058138104448	0.09173394360654283	16	5	0.30555555555555564
14	0.12011245707628554	0.10261960261960268	18	5	0.4608974358974359
15	0.09589265262013877	0.07037337662337664	13	4	0.2905767940979208
16	0.12609438752471194	0.10158730158730156	19	8	0.41594516594516595
17	0.13043525297713307	0.11685380347352176	23	9	0.388944388944389
18	0.10233704721007325	0.08001384374623813	14	5	0.3780663780663781
19	0.10614595619797286	0.09816919191919193	17	2	0.225
20	0.11974048653919546	0.12623475009838647	20	6	0.3055555555555556
21	0.10166016327454652	0.08288194591011494	14	5	0.28715728715728717
22	0.1176133966253471	0.11365489948236418	20	7	0.323076923076923
23	0.09562896182080986	0.06652722277722278	15	4	0.2898351648351648
24	0.12710301457367187	0.08213630071024441	16	8	0.4549062049062049
25	0.11782891833708094	0.09384018759018753	17	7	0.37545787545787557
26	0.12670674568748622	0.08428932178932175	15	9	0.42559523809523825
27	0.10678494791277547	0.08363095238095233	15	7	0.3342490842490842
28	0.1131313964820687	0.1098320871048144	21	5	0.31726254965691586
29	0.09603747561894171	0.07957251082251077	12	4	0.42735042735042744
30	0.10583605192013217	0.08302485855302755	16	7	0.2805555555555555
31	0.1103552539878831	0.09919209578300484	18	3	0.27862554112554117
32	0.11308767138632699	0.09083535791282268	16	5	0.32141567352834965
33	0.08692328714069003	0.07270267611176703	14	2	0.26181457431457433
34	0.10415268555206669	0.09595959595959597	17	5	0.3696581196581196
35	0.11346944982508361	0.08123189941371764	16	5	0.3181818181818181
36	0.1087929352227261	0.0957861582861583	17	6	0.28194444444444444
37	0.10308630955637998	0.08607503607503608	15	3	0.33538961038961035
38	0.10150463229448509	0.0941179126038281	17	2	0.3194444444444445
39	0.12293246486721733	0.09499458874458874	17	6	0.5263888888888888
40	0.10794955403230053	0.07666888080620474	16	7	0.351010101010101
41	0.11292617394303267	0.08623667998668003	17	5	0.29387052341597797
42	0.11539961166108201	0.0815746753246753	15	8	0.39239926739926745
43	0.09844682237981427	0.0986799816345271	17	4	0.3035714285714286
44	0.11063157876804912	0.10402908906430036	19	4	0.3406163476586012
45	0.0988432631491744	0.06833513708513708	13	4	0.326948051948052
46	0.1494200531905931	0.1389339826839827	22	10	0.48611111111111116
47	0.09741362931183675	0.08649610366159666	13	5	0.39983766233766244
48	0.07732958744082304	0.06457431457431456	11	2	0.32529794149512475
49	0.14099743713353405	0.13040387642660378	20	10	0.5961538461538461
50	0.11146727421935489	0.1137036574536574	20	5	0.3787878787878788
51	0.10201757871678913	0.06670274170274171	13	7	0.43452380952380965
52	0.12559069890882738	0.09724156018970367	18	9	0.4570707070707071
53	0.10160694132498442	0.07638190252626878	16	4	0.3753746253746253
54	0.13018696464732535	0.10198513607604515	18	6	0.4472222222222223
55	0.10874230341393167	0.07754083038173942	16	5	0.4203984591308535
56	0.10361921406789097	0.09337121212121213	15	4	0.39861111111111114
57	0.1135661289043705	0.07905976599158415	15	6	0.33547008547008556
58	0.0973443742596538	0.08160501115046567	15	3	0.31474358974358974
59	0.09303890346624023	0.08111093452002541	15	3	0.3607142857142857
60	0.09355627083433316	0.08308736717827625	16	3	0.2813311688311689
61	0.10861193987127621	0.09871794871794873	18	5	0.34523809523809523
62	0.1454814576813617	0.12723091302636758	23	9	0.4061065197428835
63	0.09795412658862296	0.06601233273768481	11	7	0.31837606837606836
64	0.1328096284455653	0.10348124098124101	19	6	0.5634705669916937
65	0.12401837997762027	0.08367358651449563	17	7	0.3944444444444444
66	0.1102008040014869	0.09909940411700974	18	5	0.2958333333333334
67	0.13841307737487848	0.11517888676979576	23	8	0.48888888888888904
68	0.12572347153012964	0.11592556326871312	22	6	0.3012626262626263
69	0.1162857141356928	0.08800763097337994	17	4	0.5115384615384615
70	0.0964817633738355	0.07732438016528928	15	3	0.4444444444444446
71	0.11705827812581976	0.070264331627968	13	8	0.4170995670995671
72	0.1400760030188114	0.09883658008658014	18	9	0.37606837606837606
73	0.13123974326759216	0.11466734290037747	21	9	0.49444444444444435
74	0.11648814114269726	0.11668747918747915	20	4	0.4069444444444445
75	0.12555720710463564	0.12088266780168186	20	7	0.3859126984126985
76	0.10204530268817508	0.10240800865800864	18	3	0.22596153846153844
77	0.11685712955852738	0.09412304866850324	17	8	0.33974358974358976
78	0.10196083521014167	0.06901117448492611	12	4	0.375
79	0.13532275311511338	0.11919514366697473	20	10	0.4038461538461539
80	0.10420746466547787	0.08109246707198045	13	6	0.41980519480519474
81	0.08953989668351599	0.06404428904428905	11	3	0.3178571428571428
82	0.10102707312881237	0.07884539702721521	15	3	0.3916666666666667
83	0.09295542662353375	0.07725712276768609	8	5	0.3112069855027601
84	0.0953321982411291	0.08009976134976127	14	3	0.24166666666666659
85	0.10838576816356373	0.09784943591761774	17	4	0.26709401709401703
86	0.11086486628126618	0.09687247860263232	17	4	0.31628787878787884
87	0.11534582046879313	0.09420120265990944	16	5	0.425
88	0.08993003521786064	0.07047427337920295	10	4	0.2896825396825397
89	0.1395702452413934	0.10635822510822515	19	8	0.5250000000000001
90	0.147170492295599	0.10286192680558878	19	12	0.44005055976886964
91	0.09425550076691774	0.07852079631849165	10	5	0.32109557109557096
92	0.10583481098579266	0.08279162152401587	16	6	0.4055555555555556
93	0.1375358987608241	0.12925672812036454	20	8	0.6319444444444445
94	0.0812049883219324	0.06106109799291626	11	3	0.25231208185753634
95	0.11260786999156609	0.09606246026700574	17	5	0.326923076923077
96	0.10963315619072128	0.08854535615899248	14	5	0.42405200433369444
97	0.10832531976764798	0.08166404302767943	15	4	0.2871933621933621
98	0.10455603979531637	0.07419087172608296	15	5	0.3752859034549175
99	0.09585458659162244	0.07927340833870916	11	4	0.4305555555555556
100	0.09641870583771989	0.07172549672549669	12	4	0.3513708513708514
101	0.13142965650834834	0.11666111666111667	21	7	0.5263347763347763
102	0.09256649447910653	0.08963763509218065	15	4	0.28333333333333327
103	0.10180075759194412	0.09037594838651178	17	4	0.241242325749368
104	0.13182767334229137	0.09767120505756871	16	10	0.4014430014430015
105	0.09187062645902806	0.0567550505050505	12	4	0.37203563259901296
106	0.12797792218806942	0.09804006634992549	18	9	0.577777777777778
107	0.13832306359248314	0.1059335235471599	18	9	0.3995726495726496
108	0.1108322372980397	0.0988317238317239	18	4	0.31845238095238093
109	0.11120550774173271	0.08077397954158516	14	5	0.37842712842712845
110	0.09995131773034037	0.06699267086591032	14	4	0.34067460317460313
111	0.10203770074395342	0.09439935064935065	16	3	0.2944444444444446
112	0.10955227748334878	0.08569579872396782	16	6	0.31132756132756123
113	0.1151454403174954	0.09538061703554666	18	7	0.26923076923076933
114	0.1220658225979929	0.12207111070747434	21	8	0.33333333333333337
115	0.1095725111876947	0.10246212121212125	19	5	0.3494047619047618
116	0.10874803453095172	0.08077982623437166	14	5	0.4316239316239316
117	0.10678066139413772	0.07951265905811361	17	5	0.45138888888888895
118	0.10343101566159613	0.07590187590187583	15	4	0.2841117216117216
119	0.09237745299151617	0.07537878787878785	14	5	0.3078512396694215
120	0.11578321295964275	0.10659776452029965	19	6	0.32873376623376627
121	0.12082756327981466	0.09960317460317458	17	7	0.40213675213675215
122	0.11269630780807688	0.08216575091575093	17	6	0.3916666666666666
123	0.10554757623819723	0.08477564102564103	16	4	0.35569985569985574
124	0.09671508553017304	0.06835865621076892	12	3	0.4650072150072151
125	0.11495033677732142	0.09043765577856491	14	6	0.46904761904761905
126	0.10570638908640403	0.07828282828282829	15	6	0.2644628099173555
127	0.10239648355312032	0.09483053225050672	16	2	0.23333333333333328
128	0.1107409760672138	0.07600020196050927	16	6	0.38997113997113997
129	0.10976613395654157	0.07647554465736289	15	5	0.38675213675213677
130	0.10217561979325743	0.08494138437320253	15	4	0.31111111111111117
131	0.11355137073767037	0.10527597402597405	18	3	0.39722222222222225
132	0.12273513301442243	0.11051587301587298	18	9	0.2845959595959597
133	0.08944987535069693	0.07804834054834042	15	2	0.25396825396825407
134	0.10664838009321581	0.08354026646280177	16	4	0.3795371295371296
135	0.12181448690731665	0.090789072039072	17	8	0.4470025279884436
136	0.09370826599539786	0.07662034934762205	13	4	0.30417814508723606
137	0.12945492422525073	0.1020888833388833	19	9	0.35
138	0.10013486369386922	0.08606392629279952	13	4	0.3216783216783216
139	0.10569473587105896	0.07299416155049956	17	4	0.4487179487179488
140	0.09628834634169674	0.07647907647907648	15	4	0.3916666666666666
141	0.11489858079433415	0.0843828999638859	14	7	0.37548701298701304
142	0.11015999139532003	0.0836092018310328	16	8	0.3773809523809524
143	0.0959953571349218	0.08188274948838328	15	3	0.39027777777777783
144	0.11597587440657225	0.09064644275911876	17	5	0.39158992416034666
145	0.12175223988204142	0.09218580715059582	17	7	0.3914696414696416
146	0.11966808172660712	0.10288160587456363	19	7	0.30222555222555214
147	0.11255756408471945	0.08980921269653666	16	4	0.28715728715728717
148	0.12007142072096189	0.09288246964303304	16	7	0.46825396825396837
149	0.09028922831606356	0.07796004500549958	13	3	0.3
150	0.10017409826148622	0.08155316905316903	15	3	0.24136469591015053
151	0.10258408424221484	0.069462481962482	12	5	0.41528229204285544
152	0.12694692101302218	0.09186679908510895	17	8	0.42027417027417024
153	0.12961767913485797	0.1174463287459446	21	5	0.4295172745876971
154	0.10647103287948362	0.0892316017316018	15	3	0.3784090909090908
155	0.12290618248391401	0.08610991281445823	16	8	0.42222222222222233
156	0.07993017463914816	0.06313921886905244	13	1	0.31511544011544007
157	0.1029437131429769	0.09562010759193856	17	2	0.36250000000000004
158	0.1257279703489157	0.10954739704739708	20	9	0.4542207792207793
159	0.12220187911075664	0.09507575757575762	17	7	0.353063603063603
160	0.1136519983430995	0.1120785779876689	20	5	0.2863095238095238
161	0.1322734937344946	0.10770789531993119	21	9	0.33488292011019294
162	0.10893165091575249	0.0841081267217631	16	5	0.3624352955338871
163	0.11251011988714718	0.06970035939306107	14	7	0.4708333333333333
164	0.11230672356365913	0.09513970877607236	15	5	0.351186692095783
165	0.09887835672886888	0.08291708291708291	17	4	0.32202380952380955
