scenario	model	n	responders	non_responders	domains	roc_auc	roc_auc_ci_low	roc_auc_ci_high	roc_auc_bootstrap_valid	pr_auc	pr_auc_ci_low	pr_auc_ci_high	pr_auc_bootstrap_valid	brier	brier_ci_low	brier_ci_high	brier_bootstrap_valid	balanced_accuracy	sensitivity	specificity	log_loss	calibration_intercept	calibration_slope	prevalence_baseline_pr_auc
PRIMARY	elastic_net	363	217	146	9	0.5283126065273658	0.47802219322586614	0.5848914016861873	500	0.6488346153832057	0.546248022566466	0.7287637798485899	500	0.30189734456135325	0.2778681903498041	0.3286873997278573	500	0.5183384887317719	0.5161290322580645	0.5205479452054794	0.9855810868430374	0.39309433475123395	0.08028292209616836	0.5977961432506887
PRIMARY	ridge	363	217	146	9	0.4463417713528186	0.377650149464185	0.5284648845088561	500	0.5590123966625651	0.4564796023620318	0.667973624374172	500	0.4097544185900247	0.34750495724150965	0.4969933886572329	500	0.45669465311533364	0.5161290322580645	0.3972602739726027	2.0897812669534916	0.41007095569998675	-0.02051284461521043	0.5977961432506887
PRIMARY	random_forest	363	217	146	9	0.4476043179092229	0.376162236908379	0.5549295043090663	500	0.5671114504474883	0.44338612378834324	0.6726626062602455	500	0.26387104133948924	0.24209217629538307	0.28339958387292163	500	0.47550659680575724	0.6359447004608295	0.3150684931506849	0.7227282186664126	0.44090569309799005	-0.3160828449306497	0.5977961432506887
S1_EXCLUDE_BCN12	elastic_net	362	216	146	9	0.5275875190258752	0.47223963508714784	0.5877139199861147	500	0.6483760301096018	0.5338843089465024	0.7308171366179289	500	0.30302007758308774	0.2787906294027922	0.3303778723876273	500	0.5161085743277525	0.5185185185185185	0.5136986301369864	1.0000206538656815	0.3900030377526369	0.07544901685757939	0.5966850828729282
S1_EXCLUDE_BCN12	ridge	362	216	146	9	0.44507864028411975	0.3776279647763536	0.527374241351517	500	0.5594382864719099	0.45634999614797545	0.6659709715787094	500	0.40956948119942677	0.3472233246933413	0.49083884774748854	500	0.45779426686960933	0.5046296296296297	0.410958904109589	1.9960298576037097	0.40243151071218114	-0.018387749732513062	0.5966850828729282
S1_EXCLUDE_BCN12	random_forest	362	216	146	9	0.4412100456621004	0.37154484613199057	0.5527650142781723	500	0.5543358891559661	0.43027579531213517	0.6566454069637225	500	0.26451413974764026	0.2422065861625756	0.28573920046143886	500	0.48040334855403344	0.6388888888888888	0.3219178082191781	0.7245859582493077	0.460868510740803	-0.4131614071998889	0.5966850828729282
S2_BCN12_AS_NR	elastic_net	363	216	147	9	0.5108339632149156	0.4598438277460773	0.5715534361232085	500	0.6439017759529807	0.5184094306414817	0.7241959448600185	500	0.2970049891784951	0.2755287099242874	0.3208645265494344	500	0.49707105064247925	0.49074074074074076	0.5034013605442177	0.90424998910879	0.39193367595658085	0.09713813262512343	0.5950413223140496
S2_BCN12_AS_NR	ridge	363	216	147	9	0.4441924918115394	0.36494426023149423	0.5326136843680099	500	0.5594891968553957	0.4473363585631785	0.66839371251575	500	0.41006994239221756	0.34830831757363545	0.49777406837157645	500	0.4460506424792139	0.49074074074074076	0.4013605442176871	2.1974047824299863	0.3952549873120219	-0.014843285486555544	0.5950413223140496
S2_BCN12_AS_NR	random_forest	363	216	147	9	0.45997102544721596	0.3960425266683621	0.553685745500974	500	0.5760233150875051	0.46430703675787094	0.6681245163246935	500	0.2607164279054486	0.24003875735179991	0.27979618205384565	500	0.4700491307634165	0.6203703703703703	0.3197278911564626	0.7154427409125032	0.4079834792905526	-0.19056077494339685	0.5950413223140496
S3_EXCLUDE_LEE_SITES	elastic_net	326	199	127	7	0.4927392869861117	0.4520488580108011	0.5560904172756788	500	0.6088970093895737	0.5056359403856034	0.7111296513624189	500	0.3201782245474338	0.2731343441304424	0.3710319707488483	500	0.5096743560321291	0.507537688442211	0.5118110236220472	1.095255314380043	0.46389084052521296	-0.04146507847755231	0.6104294478527608
S3_EXCLUDE_LEE_SITES	ridge	326	199	127	7	0.4661100779487991	0.4103908387003424	0.5542035615109304	500	0.5837088518003251	0.4834030320635278	0.6947022057764658	500	0.3653247083836038	0.2963027847384105	0.4578015931045967	500	0.49535076959601154	0.5025125628140703	0.4881889763779528	1.5172340755366907	0.452772083945301	-0.04361307054690023	0.6104294478527608
S3_EXCLUDE_LEE_SITES	random_forest	326	199	127	7	0.4649626083171764	0.3741781792224907	0.59840961427749	500	0.6030223862005124	0.466774428212035	0.7081161360937841	500	0.26034171287032554	0.23253187758157243	0.2846777805901299	500	0.45505084477505636	0.6030150753768844	0.30708661417322836	0.714949282735175	0.47944794659108225	-0.16669778739244592	0.6104294478527608
