scenario	model	feature	folds_selected	unique_outer_folds	nonzero_fold_fraction	mean_importance	mean_absolute_importance	median_importance	sign_consistency
S1_EXCLUDE_BCN12	ridge	s__Roseburia_intestinalis	9	9	1.0	-0.3714129846449384	0.3714129846449384	-0.3099029874001683	1.0
S1_EXCLUDE_BCN12	ridge	s__Anaerotruncus_rubiinfantis	9	9	1.0	-0.3689660048199967	0.3689660048199967	-0.43534559662324274	1.0
S1_EXCLUDE_BCN12	ridge	s__Vescimonas_SGB15087	9	9	1.0	-0.36863434331664846	0.36863434331664846	-0.3993868990891829	1.0
S1_EXCLUDE_BCN12	ridge	s__Paraprevotella_clara	9	9	1.0	-0.36832639629660435	0.36832639629660435	-0.369126665190296	1.0
S1_EXCLUDE_BCN12	ridge	s__Bifidobacterium_catenulatum	8	8	1.0	0.3672745324988964	0.3672745324988964	0.24527093378371323	1.0
S1_EXCLUDE_BCN12	ridge	s__Vescimonas_coprocola	9	9	1.0	-0.36142563829744556	0.36142563829744556	-0.24812210137367416	1.0
S1_EXCLUDE_BCN12	ridge	s__Lactococcus_lactis	9	9	1.0	0.35779537488438695	0.35779537488438695	0.3427621874171079	1.0
S1_EXCLUDE_BCN12	ridge	s__Alistipes_sp_AF17_16	9	9	1.0	0.35468273989459226	0.35468273989459226	0.4067689011416847	1.0
S1_EXCLUDE_BCN12	ridge	s__Sutterella_wadsworthensis	9	9	1.0	-0.35402627749317356	0.35402627749317356	-0.42950702599530194	1.0
S1_EXCLUDE_BCN12	ridge	s__Massilimicrobiota_timonensis	9	9	1.0	-0.353881682910531	0.353881682910531	-0.3953946165972545	1.0
S1_EXCLUDE_BCN12	ridge	s__GGB9619_SGB15066	9	9	1.0	-0.348816021984188	0.348816021984188	-0.4482870876500045	1.0
S1_EXCLUDE_BCN12	ridge	s__Roseburia_faecis	9	9	1.0	0.3478975090034028	0.3478975090034028	0.3935391567858166	1.0
S1_EXCLUDE_BCN12	ridge	s__Methylobacterium_SGB15164	9	9	1.0	0.34163832771697167	0.3435930888026595	0.423320395729454	0.8888888888888888
S1_EXCLUDE_BCN12	ridge	s__Streptococcus_mitis	9	9	1.0	0.3408262574640515	0.3408262574640515	0.27372308104067977	1.0
S1_EXCLUDE_BCN12	ridge	s__Lacrimispora_celerecrescens	9	9	1.0	0.3383597810051606	0.3383597810051606	0.3441875813485869	1.0
S1_EXCLUDE_BCN12	ridge	s__Clostridium_sp_1001270H_150608_G6	9	9	1.0	0.33476566362484766	0.33476566362484766	0.3385857247547879	1.0
S1_EXCLUDE_BCN12	ridge	s__Anaerosacchariphilus_sp_NSJ_68	8	8	1.0	-0.3329353546666155	0.3329353546666155	-0.28763813778527714	1.0
