permutation_index	lodo_roc_auc	losfo_roc_auc
1	0.5557729941291585	0.5659364939082129
2	0.5917240073227701	0.5850325105738274
3	0.4776529259516445	0.4686257180733539
4	0.4762325610756897	0.45492708793636766
5	0.47067735622751083	0.5064074237737517
6	0.5483239694463734	0.4916987563916419
7	0.4242156429518339	0.4216905498390253
8	0.48522820529007005	0.5025566567767187
9	0.5379079603560382	0.557698377627675
10	0.4794836184584307	0.42131178587210405
11	0.4306861940534057	0.4034151884350735
12	0.5128148475475033	0.4928034846284957
13	0.5037245123413926	0.4577678176882773
14	0.41269490562464495	0.46559560633798375
15	0.5830439997474907	0.5997727416198473
16	0.49611766933905693	0.4832396944637334
17	0.44514235212423453	0.4629442585695348
18	0.42014393030743	0.4139258885171391
19	0.463607095511647	0.47231866675083645
20	0.484912568650969	0.4886055173284515
21	0.4872798434442271	0.5010731645729436
22	0.5252509311280854	0.534625339309387
23	0.4735180859794205	0.4956442143804053
24	0.5571617953412031	0.5498390253140585
25	0.52367274793258	0.5101003724512341
26	0.4832396944637334	0.4963386149864276
27	0.5372451234139259	0.47604317909222904
28	0.5439366201628686	0.4887948993119121
29	0.4869957704690361	0.4811880563095764
30	0.530458935673253	0.5486080424215642
31	0.47563285146139767	0.49668581528943884
32	0.5061549144624709	0.4715295751530838
33	0.4737074679628811	0.47443343223281353
34	0.4434379142730888	0.457104980746165
35	0.4363045262294048	0.4542011236664352
36	0.4068871914651853	0.41395745218104923
37	0.4977589798623824	0.5392967615680828
38	0.47992550975317216	0.49895839909096656
39	0.42292153273151956	0.43122277633987754
40	0.5324158828356796	0.48516507796224984
41	0.44324853228962824	0.47815794457420613
42	0.4922037750142037	0.5136670664730763
43	0.496149233002967	0.494665740799192
44	0.5320055552048483	0.5125307745723123
45	0.49816930749321386	0.5148980493655704
46	0.49529701407739407	0.495549523388675
47	0.49756959787892185	0.5117416829745597
48	0.45868316394167036	0.45514803358373834
49	0.4659112429770848	0.4904046461713275
50	0.44804620920396443	0.41752414620289124
51	0.4707404835553311	0.46048229278454644
52	0.39445110788460325	0.3802474591250552
53	0.4346000883782589	0.4119373776908024
54	0.46490120573196136	0.44665740799191966
