scenario	model	validation_scheme	permutation_strategy	hyperparameter_strategy	permutations	observed_roc_auc	null_mean_roc_auc	null_sd_roc_auc	null_median_roc_auc	null_95th_percentile_roc_auc	null_975th_percentile_roc_auc	empirical_one_sided_p
PRIMARY	elastic_net	LEAVE_ONE_DOMAIN_OUT	response labels shuffled separately within each of 9 domains	prespecified locked Step10.5A benchmark hyperparameters	500	0.5234833659491194	0.4863709993055994	0.04431383185577808	0.4864118426866991	0.5584211855312164	0.5730651474023105	0.2155688622754491
PRIMARY	elastic_net	LEAVE_ONE_STUDY_FAMILY_OUT	response labels shuffled separately within each of 9 domains	prespecified locked Step10.5A benchmark hyperparameters	500	0.4737390316267912	0.48590575089956445	0.04136621305223879	0.4845811501799129	0.5571097152957515	0.5679786629631968	0.6067864271457086
