scheme	method	delta_auc	ci_low	ci_high	p_boot_gt0
LODO	target_percentile	0.0011047282368537	-0.0396511371407142	0.0282307569291198	0.434
LODO	CORAL_target_to_source	-0.05918186983145	-0.0934207751916523	-0.0342322752207131	0.0
LOSFO	target_percentile	0.0128148475475032	-0.0377811205154128	0.0677706016039902	0.69
LOSFO	CORAL_target_to_source	-0.0249352944889842	-0.0836419208840298	0.0440684660961158	0.244
