scheme	method	n	roc_auc	pr_auc	brier	log_loss	calibration_intercept	calibration_slope	calibration_intercept_se	calibration_slope_se
LODO	CORAL_target_to_source	363	0.46449087810113	0.5940019433541619	0.2706505615976407	0.740851000472807	0.4503886742402089	-0.1935202889586515	0.11787712887162366	0.1705408076813787
LODO	baseline_CLR	363	0.52367274793258	0.6148050780484113	0.31079877428443053	0.9077888535440486	0.38974409823530476	0.03976013655444095	0.10760407971474384	0.06772840714879397
LODO	target_percentile	363	0.5247774761694337	0.6198975401798488	0.3100980448557099	0.9134352990332725	0.3877822534412239	0.03480886090792873	0.10821470709198493	0.06635586687733265
LOSFO	CORAL_target_to_source	363	0.44899311912126766	0.5730830117350125	0.276854277692993	0.7559522551122406	0.4854618486905937	-0.3006969446676635	0.11924615366677938	0.16667193317875656
LOSFO	baseline_CLR	363	0.4739284136102519	0.5810624114434326	0.3735481266560207	1.1215261228892397	0.34948358914101957	-0.07373157787470773	0.11434490296959757	0.06450209478794439
LOSFO	target_percentile	363	0.4867432611577552	0.6010159628601638	0.315362685116687	0.9007260349343522	0.4089368163095905	-0.046029144351456996	0.10926409240567826	0.07642376094260665
