scenario	model	train_domain	test_domain	train_n	test_n	train_responders	train_non_responders	test_responders	test_non_responders	selected_features	pseudocount	locked_params	roc_auc	roc_auc_ci_low	roc_auc_ci_high	roc_auc_bootstrap_valid	pr_auc	brier	balanced_accuracy	sensitivity	specificity	log_loss	train_study_family	test_study_family	same_study_family	train_country	test_country	same_country	train_macro_region	test_macro_region	same_macro_region	train_treatment_scope_group	test_treatment_scope_group	same_treatment_scope_group	known_combination_ici_fraction_difference	absolute_response_rate_difference	log_train_n	log_test_n	aitchison_centroid_distance	bray_curtis_centroid_distance	jensen_shannon_distance	prevalence_l1_distance	train_endpoint_class	test_endpoint_class	same_endpoint_class	endpoint_direction
PRIMARY	elastic_net	Gopalakrishnan_US	Lee_Leeds	25	18	14	11	10	8	386	2.5004030649745586e-07	"{""C"": 0.2, ""l1_ratio"": 0.75}"	0.35	0.1059375	0.6000000000000001	500	0.5056395891690009	0.2892910456105482	0.3	0.6	0.0	0.7749046157891973	Gopalakrishnan_2018	Lee_2022_family	0	United_States	United_Kingdom	0	North_America	Europe	0	anti_PD1_only	mixed_ICI_including_combination	0		0.0044444444444444	3.218875824868201	2.8903717578961645	2.0440113218725884	0.6134426055677813	0.5216269539720565	0.0864610733182161	DCB6_COMPATIBLE	DCB6_COMPATIBLE	1	DCB6 -> DCB6
PRIMARY	elastic_net	Gopalakrishnan_US	Lee_Manchester	25	25	14	11	12	13	386	2.5004030649745586e-07	"{""C"": 0.2, ""l1_ratio"": 0.75}"	0.5448717948717949	0.2979166666666666	0.7790064102564103	500	0.6551257143462521	0.2515168816977083	0.407051282051282	0.5833333333333334	0.2307692307692307	0.6958777079699877	Gopalakrishnan_2018	Lee_2022_family	0	United_States	United_Kingdom	0	North_America	Europe	0	anti_PD1_only	mixed_ICI_including_combination	0		0.08	3.218875824868201	3.218875824868201	2.156186223234672	0.7155554538377515	0.6032222163102883	0.0816870748299319	DCB6_COMPATIBLE	DCB6_COMPATIBLE	1	DCB6 -> DCB6
PRIMARY	elastic_net	Gopalakrishnan_US	Lee_PRIMM_NL	25	55	14	11	33	22	386	2.5004030649745586e-07	"{""C"": 0.2, ""l1_ratio"": 0.75}"	0.709366391184573	0.552995867768595	0.8389118457300274	500	0.8041104172051998	0.2274764991890552	0.5984848484848485	0.8787878787878788	0.3181818181818182	0.6474553810266924	Gopalakrishnan_2018	Lee_2022_family	0	United_States	Netherlands	0	North_America	Europe	0	anti_PD1_only	mixed_ICI_including_combination	0	0.22	0.0399999999999999	3.218875824868201	4.007333185232471	2.1884513111812445	0.7745689314443972	0.6511689475893659	0.0733852813852813	DCB6_COMPATIBLE	DCB6_COMPATIBLE	1	DCB6 -> DCB6
PRIMARY	elastic_net	Gopalakrishnan_US	Lee_PRIMM_UK	25	54	14	11	33	21	386	2.5004030649745586e-07	"{""C"": 0.2, ""l1_ratio"": 0.75}"	0.598845598845599	0.4278138528138528	0.7532467532467533	500	0.7002902149171216	0.2330333110340853	0.577922077922078	0.7272727272727273	0.4285714285714285	0.6582460963978536	Gopalakrishnan_2018	Lee_2022_family	0	United_States	United_Kingdom	0	North_America	Europe	0	anti_PD1_only	mixed_ICI_including_combination	0	0.53	0.0511111111111111	3.218875824868201	3.9889840465642745	2.0629884886792	0.7029774214674973	0.5924470851118022	0.0784812295288485	DCB6_COMPATIBLE	DCB6_COMPATIBLE	1	DCB6 -> DCB6
PRIMARY	elastic_net	Gopalakrishnan_US	Matson_US	25	38	14	11	14	24	386	2.5004030649745586e-07	"{""C"": 0.2, ""l1_ratio"": 0.75}"	0.5535714285714286	0.3465029761904762	0.738095238095238	500	0.4591401264785287	0.2367942577854159	0.5625	0.5	0.625	0.6653771381620728	Gopalakrishnan_2018	Matson_2018	0	United_States	United_States	1	North_America	North_America	1	anti_PD1_only	anti_PD1_only	1	0.0	0.1915789473684211	3.218875824868201	3.6375861597263857	1.1378781135158458	0.3294047339119271	0.3564483862875205	0.0470108604845447	DCB6_COMPATIBLE	RECIST_ORR_PROGRESSION	0	DCB6 -> RECIST_ORR_PROGRESSION
PRIMARY	elastic_net	Gopalakrishnan_US	Spencer_US	25	97	14	11	71	26	386	2.5004030649745586e-07	"{""C"": 0.2, ""l1_ratio"": 0.75}"	0.4788732394366197	0.3376895991332611	0.6129604550379198	500	0.7203708272957581	0.2717727858422421	0.4856446370530877	0.3943661971830985	0.5769230769230769	0.7383369112320605	Gopalakrishnan_2018	Spencer_2021	0	United_States	United_States	1	North_America	North_America	1	anti_PD1_only	anti_PD1_based_unspecified_mix	0		0.1719587628865978	3.218875824868201	4.574710978503383	0.8663222398807107	0.3242323634033718	0.3265638556807378	0.0339318792809219	DCB6_COMPATIBLE	DCB6_COMPATIBLE	1	DCB6 -> DCB6
PRIMARY	elastic_net	Lee_Barcelona	Frankel_US	12	39	6	6	24	15	500	1.0246076956438829e-07	"{""C"": 0.2, ""l1_ratio"": 0.75}"	0.3416666666666667	0.1666666666666666	0.5320138888888888	500	0.5483132421433066	0.2527378395541598	0.4208333333333333	0.7083333333333334	0.1333333333333333	0.6986384320031487	Lee_2022_family	Frankel_2017	0	Spain	United_States	0	Europe	North_America	0	mixed_ICI_including_combination	mixed_ICI_including_combination	1		0.1153846153846154	2.4849066497880004	3.6635616461296463	2.148005799674066	0.5625705120362823	0.5030899391825384	0.0805657305657305	DCB6_COMPATIBLE	RECIST_ORR_PROGRESSION	0	DCB6 -> RECIST_ORR_PROGRESSION
PRIMARY	elastic_net	Lee_Barcelona	Gopalakrishnan_US	12	25	6	6	14	11	500	1.0246076956438829e-07	"{""C"": 0.2, ""l1_ratio"": 0.75}"	0.4935064935064935	0.2857142857142857	0.704707792207792	500	0.6613990446743845	0.2538449241144765	0.4383116883116883	0.7857142857142857	0.0909090909090909	0.701003213217083	Lee_2022_family	Gopalakrishnan_2018	0	Spain	United_States	0	Europe	North_America	0	mixed_ICI_including_combination	anti_PD1_only	0		0.06	2.4849066497880004	3.218875824868201	1.7464261293987988	0.4386402989935155	0.4368346369614659	0.0772532123960695	DCB6_COMPATIBLE	DCB6_COMPATIBLE	1	DCB6 -> DCB6
PRIMARY	elastic_net	Lee_Barcelona	Lee_Leeds	12	18	6	6	10	8	500	1.0246076956438829e-07	"{""C"": 0.2, ""l1_ratio"": 0.75}"	0.6875	0.375	0.925	500	0.6792199467199467	0.2335343335124288	0.6625	0.7	0.625	0.6599638452131055	Lee_2022_family	Lee_2022_family	1	Spain	United_Kingdom	0	Europe	Europe	1	mixed_ICI_including_combination	mixed_ICI_including_combination	1		0.0555555555555555	2.4849066497880004	2.8903717578961645	1.900081845184206	0.5949875337870366	0.5175184809533883	0.0664525069286974	DCB6_COMPATIBLE	DCB6_COMPATIBLE	1	DCB6 -> DCB6
PRIMARY	elastic_net	Lee_Barcelona	Lee_Manchester	12	25	6	6	12	13	500	1.0246076956438829e-07	"{""C"": 0.2, ""l1_ratio"": 0.75}"	0.5641025641025641	0.3269230769230768	0.7756410256410257	500	0.610987536428713	0.2481800890057561	0.5224358974358975	0.5833333333333334	0.4615384615384615	0.6895094357104761	Lee_2022_family	Lee_2022_family	1	Spain	United_Kingdom	0	Europe	Europe	1	mixed_ICI_including_combination	mixed_ICI_including_combination	1		0.02	2.4849066497880004	3.218875824868201	2.21258720711991	0.699237363642387	0.5968096276682744	0.0739697656840514	DCB6_COMPATIBLE	DCB6_COMPATIBLE	1	DCB6 -> DCB6
