train_endpoint_class	test_endpoint_class	directed_pairs	mean_auc	median_auc	sd_auc	mean_brier	mean_pr_auc
DCB6_COMPATIBLE	DCB6_COMPATIBLE	42	0.5078191619587723	0.5002383979656706	0.12428883296103929	0.2770843293544123	0.6394418173102182
DCB6_COMPATIBLE	RECIST_ORR_PROGRESSION	14	0.4571003401360544	0.4485119047619047	0.07880599700489384	0.2818764542578246	0.49575308679256597
RECIST_ORR_PROGRESSION	DCB6_COMPATIBLE	14	0.471289962907852	0.4906204906204906	0.15318221280833863	0.2922325855326937	0.5945146835314105
RECIST_ORR_PROGRESSION	RECIST_ORR_PROGRESSION	2	0.4454365079365079	0.4454365079365079	0.11644814055254656	0.32492597630220604	0.505615530492033
