feature_cap	repeat	train_domain	test_domain	train_n_original	train_n_sampled	train_responders_sampled	selected_features	roc_auc	pr_auc	brier
10	1	Spencer_US	Gopalakrishnan_US	97	25	18	10	0.3051948051948052	0.48434750400776394	0.27312159117454815
10	1	Spencer_US	Lee_Barcelona	97	25	18	10	0.7777777777777778	0.8107142857142856	0.2194169328682888
10	1	Spencer_US	Lee_Leeds	97	25	18	10	0.3875	0.5184756420050538	0.27011576605239673
10	1	Spencer_US	Lee_Manchester	97	25	18	10	0.5384615384615384	0.5214217398098977	0.25297451001083393
10	1	Spencer_US	Lee_PRIMM_NL	97	25	18	10	0.4228650137741047	0.5842457484420229	0.27498327535277495
10	1	Spencer_US	Lee_PRIMM_UK	97	25	18	10	0.33333333333333337	0.5349538990132584	0.27269971515862373
10	1	Spencer_US	Matson_US	97	25	18	10	0.46726190476190477	0.47944400518684693	0.2806995466984749
10	2	Frankel_US	Gopalakrishnan_US	39	25	15	10	0.4610389610389611	0.5793929310854777	0.25558635508127836
10	2	Frankel_US	Lee_Barcelona	39	25	15	10	0.7500000000000001	0.7329365079365079	0.2419523441590081
10	2	Frankel_US	Lee_Leeds	39	25	15	10	0.6625000000000001	0.7294828700711053	0.2485516742650703
10	2	Frankel_US	Lee_Manchester	39	25	15	10	0.4423076923076923	0.44418614223180786	0.26349319127307375
10	2	Frankel_US	Lee_PRIMM_NL	39	25	15	10	0.4352617079889807	0.6077287662636086	0.2659397786201662
10	2	Frankel_US	Lee_PRIMM_UK	39	25	15	10	0.39393939393939403	0.5690302309854628	0.27904290894535594
10	2	Frankel_US	Matson_US	39	25	15	10	0.34821428571428575	0.32254093254873606	0.28663512855247464
10	2	Frankel_US	Spencer_US	39	25	15	10	0.4691224268689057	0.7230701265154913	0.27439402047663625
10	2	Gopalakrishnan_US	Frankel_US	25	25	14	10	0.5611111111111111	0.6234211014688227	0.25145760312637155
10	2	Gopalakrishnan_US	Lee_Barcelona	25	25	14	10	0.05555555555555554	0.3567099567099567	0.27187664924511845
10	2	Gopalakrishnan_US	Lee_Leeds	25	25	14	10	0.4875	0.5813830532212885	0.24894115311663423
10	2	Gopalakrishnan_US	Lee_Manchester	25	25	14	10	0.5	0.484593837535014	0.24922647981661877
10	2	Gopalakrishnan_US	Lee_PRIMM_NL	25	25	14	10	0.5826446280991736	0.6833465274294435	0.24384021002252423
10	2	Gopalakrishnan_US	Lee_PRIMM_UK	25	25	14	10	0.5382395382395383	0.6327029013701215	0.2468664335656887
10	2	Gopalakrishnan_US	Matson_US	25	25	14	10	0.5833333333333334	0.4431332259303557	0.24880982304779772
10	2	Gopalakrishnan_US	Spencer_US	25	25	14	10	0.5725893824485373	0.7770529759189398	0.2478417685732977
10	2	Lee_Manchester	Frankel_US	25	25	12	10	0.5	0.6153846153846154	0.24862144102186653
10	2	Lee_Manchester	Gopalakrishnan_US	25	25	12	10	0.5	0.56	0.24930122721721892
10	2	Lee_Manchester	Lee_Barcelona	25	25	12	10	0.5	0.5	0.25003766226218416
10	2	Lee_Manchester	Lee_Leeds	25	25	12	10	0.5	0.5555555555555556	0.24935577796129044
10	2	Lee_Manchester	Lee_PRIMM_NL	25	25	12	10	0.5	0.6	0.24881027052057555
10	2	Lee_Manchester	Lee_PRIMM_UK	25	25	12	10	0.5	0.6111111111111112	0.24867389366039672
10	2	Lee_Manchester	Matson_US	25	25	12	10	0.5	0.3684210526315789	0.25165265139587994
10	2	Lee_Manchester	Spencer_US	25	25	12	10	0.5	0.7319587628865979	0.24719061956257624
10	2	Lee_PRIMM_NL	Frankel_US	55	25	15	10	0.5	0.6153846153846154	0.24865677241884604
10	2	Lee_PRIMM_NL	Gopalakrishnan_US	55	25	15	10	0.5	0.56	0.24931866010874262
10	2	Lee_PRIMM_NL	Lee_Barcelona	55	25	15	10	0.5	0.5	0.25003570510613043
10	2	Lee_PRIMM_NL	Lee_Leeds	55	25	15	10	0.5	0.5555555555555556	0.2493717745529936
10	2	Lee_PRIMM_NL	Lee_Manchester	55	25	15	10	0.5	0.48	0.2502747201052598
10	2	Lee_PRIMM_NL	Lee_PRIMM_UK	55	25	15	10	0.5	0.6111111111111112	0.24870784399985663
10	2	Lee_PRIMM_NL	Matson_US	55	25	15	10	0.5	0.3684210526315789	0.25160817220566534
10	2	Lee_PRIMM_NL	Spencer_US	55	25	15	10	0.5	0.7319587628865979	0.24726362393066184
10	2	Lee_PRIMM_UK	Frankel_US	54	25	15	10	0.5722222222222222	0.7210550470522401	0.24772507711794872
10	2	Lee_PRIMM_UK	Gopalakrishnan_US	54	25	15	10	0.6103896103896105	0.7378318782666609	0.24491280829853465
10	2	Lee_PRIMM_UK	Lee_Barcelona	54	25	15	10	0.22222222222222224	0.42020202020202013	0.2643041729650278
10	2	Lee_PRIMM_UK	Lee_Leeds	54	25	15	10	0.3	0.4663111398405516	0.2599682350680883
10	2	Lee_PRIMM_UK	Lee_Manchester	54	25	15	10	0.5897435897435896	0.6833927957147771	0.24609682008084338
10	2	Lee_PRIMM_UK	Lee_PRIMM_NL	54	25	15	10	0.4504132231404958	0.5686542939917663	0.25180578568964945
10	2	Lee_PRIMM_UK	Matson_US	54	25	15	10	0.5773809523809523	0.474603331755323	0.25056239508552525
10	2	Lee_PRIMM_UK	Spencer_US	54	25	15	10	0.5195016251354279	0.7687319425389947	0.24870335790865375
10	2	Matson_US	Frankel_US	38	25	9	10	0.5	0.6153846153846154	0.25040848415142597
10	2	Matson_US	Gopalakrishnan_US	38	25	9	10	0.5	0.56	0.2502138930783907
10	2	Matson_US	Lee_Barcelona	38	25	9	10	0.5	0.5	0.25000308608260235
10	2	Matson_US	Lee_Leeds	38	25	9	10	0.5	0.5555555555555556	0.25019827774536935
10	2	Matson_US	Lee_Manchester	38	25	9	10	0.5	0.48	0.24993281708400622
10	2	Matson_US	Lee_PRIMM_NL	38	25	9	10	0.5	0.6	0.25035443107558286
10	2	Matson_US	Lee_PRIMM_UK	38	25	9	10	0.5	0.6111111111111112	0.25039346940813634
10	2	Matson_US	Spencer_US	38	25	9	10	0.5	0.7319587628865979	0.2508180615817842
10	2	Spencer_US	Frankel_US	97	25	18	10	0.6861111111111111	0.7846324421953281	0.22862864650760217
10	2	Spencer_US	Gopalakrishnan_US	97	25	18	10	0.4545454545454546	0.580071379575711	0.2602241491472545
10	2	Spencer_US	Lee_Barcelona	97	25	18	10	0.5555555555555556	0.5703703703703704	0.24408532347453882
10	2	Spencer_US	Lee_Leeds	97	25	18	10	0.575	0.6815674603174603	0.24727123237266
10	2	Spencer_US	Lee_Manchester	97	25	18	10	0.576923076923077	0.5322283789195554	0.24498888218510942
10	2	Spencer_US	Lee_PRIMM_NL	97	25	18	10	0.4807162534435262	0.5809760865378925	0.2492732725339395
10	2	Spencer_US	Lee_PRIMM_UK	97	25	18	10	0.5728715728715729	0.7032693985557591	0.23766235965257357
10	2	Spencer_US	Matson_US	97	25	18	10	0.4732142857142857	0.4142509313715472	0.2726604590584466
10	3	Frankel_US	Gopalakrishnan_US	39	25	15	10	0.6038961038961039	0.7168453589049516	0.2395037179400806
10	3	Frankel_US	Lee_Barcelona	39	25	15	10	0.75	0.8152777777777778	0.236314057588615
10	3	Frankel_US	Lee_Leeds	39	25	15	10	0.5125	0.6609967320261437	0.25341207551440514
10	3	Frankel_US	Lee_Manchester	39	25	15	10	0.40384615384615385	0.42499001793699936	0.25746019333082565
10	3	Frankel_US	Lee_PRIMM_NL	39	25	15	10	0.40564738292011016	0.5459622861702682	0.25302213600085216
10	3	Frankel_US	Lee_PRIMM_UK	39	25	15	10	0.6479076479076479	0.8015002982530125	0.23608316971058865
10	3	Frankel_US	Matson_US	39	25	15	10	0.6666666666666666	0.566096337524909	0.2393158330801977
10	3	Frankel_US	Spencer_US	39	25	15	10	0.4149512459371615	0.7018820235347059	0.24922182768791568
10	3	Gopalakrishnan_US	Frankel_US	25	25	14	10	0.5611111111111111	0.6234211014688227	0.251379254811082
10	3	Gopalakrishnan_US	Lee_Barcelona	25	25	14	10	0.05555555555555554	0.3567099567099567	0.27197892266572965
10	3	Gopalakrishnan_US	Lee_Leeds	25	25	14	10	0.4875	0.5813830532212885	0.24891739784093053
10	3	Gopalakrishnan_US	Lee_Manchester	25	25	14	10	0.5	0.484593837535014	0.24924740855919023
10	3	Gopalakrishnan_US	Lee_PRIMM_NL	25	25	14	10	0.5826446280991736	0.6833465274294435	0.24375380674041722
10	3	Gopalakrishnan_US	Lee_PRIMM_UK	25	25	14	10	0.5382395382395383	0.6327029013701215	0.24678283744142374
10	3	Gopalakrishnan_US	Matson_US	25	25	14	10	0.5833333333333334	0.4431332259303557	0.248903893860407
10	3	Gopalakrishnan_US	Spencer_US	25	25	14	10	0.5725893824485373	0.7770529759189398	0.24767154043609577
10	3	Lee_Manchester	Frankel_US	25	25	12	10	0.5	0.6153846153846154	0.2504284786253353
10	3	Lee_Manchester	Gopalakrishnan_US	25	25	12	10	0.5	0.56	0.25022443757380164
10	3	Lee_Manchester	Lee_Barcelona	25	25	12	10	0.5	0.5	0.2500033931013069
10	3	Lee_Manchester	Lee_Leeds	25	25	12	10	0.5	0.5555555555555556	0.2502080639091724
10	3	Lee_Manchester	Lee_PRIMM_NL	25	25	12	10	0.5	0.6	0.2503718005554648
10	3	Lee_Manchester	Lee_PRIMM_UK	25	25	12	10	0.5	0.6111111111111112	0.2504127347170379
10	3	Lee_Manchester	Matson_US	25	25	12	10	0.5	0.3684210526315789	0.24951864645109947
10	3	Lee_Manchester	Spencer_US	25	25	12	10	0.5	0.7319587628865979	0.2508579464743533
10	3	Lee_PRIMM_NL	Frankel_US	55	25	15	10	0.4888888888888889	0.6437610148882867	0.2559114782371463
10	3	Lee_PRIMM_NL	Gopalakrishnan_US	55	25	15	10	0.6298701298701298	0.6638716123421092	0.24114213487807185
10	3	Lee_PRIMM_NL	Lee_Barcelona	55	25	15	10	0.16666666666666666	0.3841931216931217	0.2928151908180975
10	3	Lee_PRIMM_NL	Lee_Leeds	55	25	15	10	0.375	0.5030344655344655	0.27620249476938447
10	3	Lee_PRIMM_NL	Lee_Manchester	55	25	15	10	0.532051282051282	0.5618559218559218	0.24822849334473246
10	3	Lee_PRIMM_NL	Lee_PRIMM_UK	55	25	15	10	0.5613275613275613	0.6986014278243068	0.24925826435864004
10	3	Lee_PRIMM_NL	Matson_US	55	25	15	10	0.31845238095238093	0.30854013603880154	0.25580964212295987
10	3	Lee_PRIMM_NL	Spencer_US	55	25	15	10	0.46235102925243765	0.7590606719662725	0.2448063777064006
10	3	Lee_PRIMM_UK	Frankel_US	54	25	15	10	0.5	0.6153846153846154	0.24851840010542814
10	3	Lee_PRIMM_UK	Gopalakrishnan_US	54	25	15	10	0.5	0.56	0.24925053756129817
10	3	Lee_PRIMM_UK	Lee_Barcelona	54	25	15	10	0.5	0.5	0.25004368647182423
10	3	Lee_PRIMM_UK	Lee_Leeds	54	25	15	10	0.5	0.5555555555555556	0.24930928933244825
10	3	Lee_PRIMM_UK	Lee_Manchester	54	25	15	10	0.5	0.48	0.25030806944199957
10	3	Lee_PRIMM_UK	Lee_PRIMM_NL	54	25	15	10	0.5	0.6	0.24872177162094758
10	3	Lee_PRIMM_UK	Matson_US	54	25	15	10	0.5	0.3684210526315789	0.25178304811771485
10	3	Lee_PRIMM_UK	Spencer_US	54	25	15	10	0.5	0.7319587628865979	0.24697738913731626
10	3	Matson_US	Frankel_US	38	25	9	10	0.37777777777777777	0.5625087752072513	0.25521847669419545
10	3	Matson_US	Gopalakrishnan_US	38	25	9	10	0.44805194805194803	0.6049549452955025	0.2548702484022861
10	3	Matson_US	Lee_Barcelona	38	25	9	10	0.7222222222222222	0.7994047619047618	0.24379670593757433
10	3	Matson_US	Lee_Leeds	38	25	9	10	0.7000000000000001	0.7006593406593407	0.2494764871930155
10	3	Matson_US	Lee_Manchester	38	25	9	10	0.34615384615384615	0.41925240520349216	0.2534066865909208
10	3	Matson_US	Lee_PRIMM_NL	38	25	9	10	0.465564738292011	0.5882102512228149	0.2548557282133413
10	3	Matson_US	Lee_PRIMM_UK	38	25	9	10	0.5699855699855699	0.6509974986066384	0.25384946643294515
10	3	Matson_US	Spencer_US	38	25	9	10	0.6912242686890574	0.8565057268872209	0.24867310297776177
10	3	Spencer_US	Frankel_US	97	25	18	10	0.5194444444444445	0.6824806769087832	0.2486439265179856
10	3	Spencer_US	Gopalakrishnan_US	97	25	18	10	0.41558441558441556	0.5259284688842599	0.25136866768090177
10	3	Spencer_US	Lee_Barcelona	97	25	18	10	0.8055555555555556	0.7801587301587302	0.24392682233711552
10	3	Spencer_US	Lee_Leeds	97	25	18	10	0.825	0.8684920634920634	0.2423295754613043
10	3	Spencer_US	Lee_Manchester	97	25	18	10	0.39743589743589747	0.41986129368642156	0.25114685543801163
10	3	Spencer_US	Lee_PRIMM_NL	97	25	18	10	0.4359504132231405	0.5956553308332622	0.24981426649200536
10	3	Spencer_US	Lee_PRIMM_UK	97	25	18	10	0.5396825396825397	0.6643649681401854	0.2481745192505237
10	3	Spencer_US	Matson_US	97	25	18	10	0.5059523809523809	0.39546979979310803	0.252433363577675
10	4	Frankel_US	Gopalakrishnan_US	39	25	15	10	0.5357142857142857	0.6227043162002444	0.25085874480074616
10	4	Frankel_US	Lee_Barcelona	39	25	15	10	0.5	0.5444444444444444	0.24883577520744804
10	4	Frankel_US	Lee_Leeds	39	25	15	10	0.4	0.5729839115133233	0.2542078712005335
10	4	Frankel_US	Lee_Manchester	39	25	15	10	0.5897435897435899	0.6802777777777779	0.24732137728915446
10	4	Frankel_US	Lee_PRIMM_NL	39	25	15	10	0.5523415977961432	0.6626445535387094	0.2482691230561485
10	4	Frankel_US	Lee_PRIMM_UK	39	25	15	10	0.6464646464646465	0.7267689673387435	0.24426404488804382
10	4	Frankel_US	Matson_US	39	25	15	10	0.49999999999999994	0.37538930637971346	0.25020668882767394
10	4	Frankel_US	Spencer_US	39	25	15	10	0.5406283856988082	0.7604213868714167	0.24885042583541955
10	4	Gopalakrishnan_US	Frankel_US	25	25	14	10	0.5611111111111111	0.6234211014688227	0.2514664598677756
10	4	Gopalakrishnan_US	Lee_Barcelona	25	25	14	10	0.05555555555555554	0.3567099567099567	0.2719592861909361
10	4	Gopalakrishnan_US	Lee_Leeds	25	25	14	10	0.4875	0.5813830532212885	0.24894275946665495
10	4	Gopalakrishnan_US	Lee_Manchester	25	25	14	10	0.5	0.484593837535014	0.24922619636675733
10	4	Gopalakrishnan_US	Lee_PRIMM_NL	25	25	14	10	0.5826446280991736	0.6833465274294435	0.24382308715679346
