feature_cap	analysis_set	directed_pairs	mean_roc_auc	median_roc_auc	sd_roc_auc	mean_pr_auc	mean_brier	reciprocal_pairs	mean_abs_delta_auc	median_abs_delta_auc	pairs_ge_0_10	pairs_ge_0_20	max_abs_delta_auc	repeat
10	downsample_sources_to_25_all_targets	56	0.5025202254024048	0.5	0.09771112369337934	0.5927988294349866	0.2510745615631574	21	0.0628878023655781	0.038239538239538295	4	1	0.2673945772537321	1
10	downsample_sources_to_25_all_targets	56	0.5010744423579389	0.5	0.10128473583945596	0.582102379009016	0.25204521134412416	21	0.0723240829789211	0.07215007215007219	5	1	0.2169886842422054	2
10	downsample_sources_to_25_all_targets	56	0.510474691196808	0.5	0.1309562636191457	0.5965619447279936	0.2506440132471125	21	0.09330778775858342	0.08324150596877872	9	1	0.28888888888888886	3
10	downsample_sources_to_25_all_targets	56	0.5176743253367774	0.5	0.11977738275971674	0.6003094070026744	0.2500425800337421	21	0.08342042571510286	0.06840616347658601	7	2	0.24498229043683595	4
10	downsample_sources_to_25_all_targets	56	0.4995439608337164	0.5	0.0944714933502999	0.5845209856228314	0.25027337270981764	21	0.0825020973765715	0.07900432900432897	5	3	0.22946428571428568	5
10	downsample_sources_to_25_all_targets	56	0.49439123299215676	0.5	0.09309620508933453	0.5850785541349695	0.25006754696901196	21	0.06555731349722571	0.05128205128205132	5	0	0.1923076923076923	6
10	downsample_sources_to_25_all_targets	56	0.5148662942326915	0.5	0.10701570896670601	0.5893170336686742	0.24998078606742366	21	0.07080537345879401	0.06267217630854005	6	0	0.16666666666666674	7
10	downsample_sources_to_25_all_targets	56	0.5051975475372391	0.5	0.09985135338196902	0.5914972518037418	0.2500088857650761	21	0.08127544733887335	0.061111111111111116	7	1	0.29761904761904767	8
10	downsample_sources_to_25_all_targets	56	0.5059398293564655	0.5	0.09989170290296844	0.5831522582701929	0.25050268925953584	21	0.06660194113550616	0.0641025641025641	4	1	0.24931963576329774	9
10	downsample_sources_to_25_all_targets	56	0.5146293175708303	0.5	0.12013427556268247	0.6062515215066441	0.2499502588186529	21	0.1065802911902235	0.08618654073199528	9	4	0.2846320346320347	10
