feature_cap	analysis_set	directed_pairs	mean_roc_auc	median_roc_auc	sd_roc_auc	mean_pr_auc	mean_brier	reciprocal_pairs	mean_abs_delta_auc	median_abs_delta_auc	pairs_ge_0_10	pairs_ge_0_20	max_abs_delta_auc
10	all_9_sources_all_targets	72	0.5186254228207654	0.5	0.09272503940595445	0.5946122636836895	0.2503615177022672	36	0.0856488086868475	0.07692307692307693	14	4	0.4444444444444445
10	source_n_ge_25_all_targets	56	0.5239469721981269	0.5	0.10473489290167266	0.6039781490293264	0.25057914609278503	21	0.08154875139967514	0.08618654073199516	8	2	0.20773809523809522
25	all_9_sources_all_targets	72	0.4997440805729458	0.49323211999268335	0.11304816086206229	0.6015101126827624	0.2534817167803888	36	0.14194586788683566	0.1413690964747303	21	9	0.3222222222222223
25	source_n_ge_25_all_targets	56	0.5132090159531798	0.5277777777777778	0.10911750483179543	0.6109650937426215	0.25262768557478926	21	0.11758509533911951	0.09483985924446864	9	4	0.2396769896769897
50	all_9_sources_all_targets	72	0.4947326713571911	0.5	0.11854182992151487	0.6087688335368158	0.2622498650118798	36	0.132675389512244	0.1167527548209367	21	7	0.351388888888889
50	source_n_ge_25_all_targets	56	0.4999354814710014	0.5125	0.11322933081685088	0.6090529342932657	0.2637625649643485	21	0.09930698683671066	0.09090909090909088	9	2	0.2305555555555555
500	all_9_sources_all_targets	72	0.48912141751050203	0.48763755806009323	0.12276166344900867	0.5990491135076236	0.28229056031329136	36	0.13379898316144578	0.11660526129156085	20	8	0.3922619047619048
500	source_n_ge_25_all_targets	56	0.4869180913212146	0.4906204906204906	0.12623073973886073	0.5939934182767834	0.2907568320608372	21	0.11299151058616944	0.09029433008306242	10	3	0.2842712842712844
