feature_cap	repeats	eligible_source_domains	directed_pairs_per_repeat	reciprocal_pairs_per_repeat	mean_roc_auc_mean	mean_roc_auc_sd	mean_roc_auc_q025	mean_roc_auc_q975	median_roc_auc_mean	median_roc_auc_sd	median_roc_auc_q025	median_roc_auc_q975	mean_pr_auc_mean	mean_pr_auc_sd	mean_pr_auc_q025	mean_pr_auc_q975	mean_brier_mean	mean_brier_sd	mean_brier_q025	mean_brier_q975	mean_abs_delta_auc_mean	mean_abs_delta_auc_sd	mean_abs_delta_auc_q025	mean_abs_delta_auc_q975	median_abs_delta_auc_mean	median_abs_delta_auc_sd	median_abs_delta_auc_q025	median_abs_delta_auc_q975	pairs_ge_0_10_mean	pairs_ge_0_10_sd	pairs_ge_0_10_q025	pairs_ge_0_10_q975	pairs_ge_0_20_mean	pairs_ge_0_20_sd	pairs_ge_0_20_q025	pairs_ge_0_20_q975	max_abs_delta_auc_mean	max_abs_delta_auc_sd	max_abs_delta_auc_q025	max_abs_delta_auc_q975
10	100	7	56	21	0.5016434868320129	0.008690993280889618	0.4876297232899917	0.5161552774770362	0.5008917405106985	0.003563407837275595	0.5	0.5140329366935881	0.5885392236832095	0.01040468151612503	0.566685676559184	0.6073616650524862	0.2513027881991995	0.001523537366048952	0.2497772719295793	0.25432429635698495	0.08280373671305628	0.018115936986515847	0.04565319935092549	0.11354227087716084	0.06851849260428004	0.0239104081441959	0.022275641025641058	0.11570512820512813	7.22	2.303181813198095	3.0	11.0	1.57	1.3123731299913268	0.0	4.0	0.24583259083355113	0.04960933007204514	0.16532369146005513	0.34168142463597
25	100	7	56	21	0.506250556263982	0.009649150937353319	0.48994886863233306	0.5239121369495519	0.5025035631692961	0.013894085866604951	0.47643164600550963	0.5292982399056343	0.6071403527199604	0.008336350277697512	0.5924631077773964	0.622734166455384	0.25343281356985276	0.001743418907321505	0.2505797415131514	0.256255319152486	0.10450109108613542	0.013800531440410841	0.0807005765961203	0.13278508143373471	0.09267178532983592	0.01734767141493743	0.05398377664002669	0.12346049783549777	9.24	2.261312750049261	4.0	13.0	2.55	1.343709624716425	1.0	5.0	0.2808768182219687	0.048209444794563114	0.20256093811491538	0.391467803030303
50	100	7	56	21	0.5038266327117389	0.010619926247273327	0.48531562132452993	0.5225988711072224	0.5178142549494181	0.014146610298705998	0.4814273994251587	0.5381704832415061	0.6091749566803005	0.007986955465213842	0.5924761028169729	0.6238846469312186	0.2576033646889535	0.0026331723847264027	0.2529710525152239	0.26416615508385244	0.10457344073945957	0.014682888046266851	0.07669578652315985	0.12849196763552215	0.09399409357892072	0.02036538258035041	0.05651389330366606	0.13091865098907346	9.93	2.212247817049528	5.475	14.0	2.49	1.3521027395068093	0.0	5.0	0.2656016836698655	0.046849659961357405	0.18608442378328746	0.3613888888888888
500	100	7	56	21	0.48908138956272934	0.009468948355503272	0.4718059219311406	0.505828804866797	0.49161710839487716	0.013603608302150166	0.47248101488158306	0.5175021281535366	0.5971294742238498	0.008189138826641533	0.5800602090712899	0.6126051927166005	0.27306781396957847	0.004369982322796658	0.26532361945022226	0.2811639155835371	0.09403477540892943	0.01346200964059734	0.07111875979816579	0.11845804430734462	0.07745454280745576	0.019264265747677714	0.04221341158841155	0.11648309730175925	8.17	2.155823684250583	4.0	12.0	2.06	1.2777821695137528	0.0	5.0	0.27600727400711395	0.06063483792782186	0.17939787485242029	0.4206653825972008
