domain_a	domain_b	auc_a_to_b	auc_b_to_a	absolute_delta_auc	feature_cap
Lee_PRIMM_UK	Spencer_US	0.466955579631636	0.6320346320346321	0.16507905240299608	25
Matson_US	Spencer_US	0.4165763813651137	0.5535714285714286	0.1369950472063149	25
Frankel_US	Gopalakrishnan_US	0.5	0.5777777777777778	0.07777777777777783	50
Frankel_US	Lee_Barcelona	0.6111111111111112	0.26388888888888884	0.3472222222222223	50
Frankel_US	Lee_Leeds	0.525	0.38055555555555554	0.1444444444444445	50
Frankel_US	Lee_Manchester	0.34615384615384615	0.5361111111111112	0.18995726495726506	50
Frankel_US	Lee_PRIMM_NL	0.42011019283746553	0.43611111111111117	0.016000918273645637	50
Frankel_US	Lee_PRIMM_UK	0.41847041847041844	0.625	0.20652958152958156	50
Frankel_US	Matson_US	0.33333333333333337	0.5638888888888889	0.2305555555555555	50
Frankel_US	Spencer_US	0.49458288190682553	0.40555555555555556	0.08902732635126998	50
Gopalakrishnan_US	Lee_Barcelona	0.3611111111111111	0.525974025974026	0.16486291486291488	50
Gopalakrishnan_US	Lee_Leeds	0.5625	0.35064935064935066	0.21185064935064934	50
Gopalakrishnan_US	Lee_Manchester	0.6987179487179487	0.577922077922078	0.12079587079587073	50
Gopalakrishnan_US	Lee_PRIMM_NL	0.6005509641873278	0.487012987012987	0.11353797717434078	50
Gopalakrishnan_US	Lee_PRIMM_UK	0.5555555555555556	0.7337662337662338	0.17821067821067826	50
Gopalakrishnan_US	Matson_US	0.5803571428571428	0.538961038961039	0.04139610389610382	50
Gopalakrishnan_US	Spencer_US	0.41657638136511377	0.3246753246753247	0.0919010566897891	50
Lee_Barcelona	Lee_Leeds	0.5375	0.888888888888889	0.351388888888889	50
Lee_Barcelona	Lee_Manchester	0.3846153846153846	0.5277777777777778	0.1431623931623932	50
Lee_Barcelona	Lee_PRIMM_NL	0.4600550964187327	0.5	0.03994490358126729	50
Lee_Barcelona	Lee_PRIMM_UK	0.5151515151515151	0.19444444444444442	0.3207070707070707	50
Lee_Barcelona	Matson_US	0.42857142857142855	0.6666666666666666	0.23809523809523808	50
Lee_Barcelona	Spencer_US	0.5422535211267605	0.6111111111111112	0.06885758998435065	50
Lee_Leeds	Lee_Manchester	0.3846153846153846	0.2625	0.12211538461538457	50
Lee_Leeds	Lee_PRIMM_NL	0.43939393939393934	0.6375	0.19810606060606062	50
Lee_Leeds	Lee_PRIMM_UK	0.5324675324675325	0.4124999999999999	0.11996753246753261	50
Lee_Leeds	Matson_US	0.4285714285714286	0.5875	0.15892857142857142	50
Lee_Leeds	Spencer_US	0.5612134344528711	0.49999999999999994	0.06121343445287114	50
Lee_Manchester	Lee_PRIMM_NL	0.349862258953168	0.35256410256410253	0.0027018436109345068	50
Lee_Manchester	Lee_PRIMM_UK	0.6522366522366523	0.5833333333333333	0.06890331890331902	50
Lee_Manchester	Matson_US	0.5267857142857142	0.5705128205128205	0.043727106227106294	50
Lee_Manchester	Spencer_US	0.39761646803900325	0.3589743589743589	0.038642109064644325	50
Lee_PRIMM_NL	Lee_PRIMM_UK	0.6984126984126984	0.5275482093663912	0.17086448904630713	50
Lee_PRIMM_NL	Matson_US	0.3958333333333333	0.49724517906336096	0.10141184573002765	50
Lee_PRIMM_NL	Spencer_US	0.4712892741061755	0.43112947658402206	0.04015979752215343	50
Lee_PRIMM_UK	Matson_US	0.4761904761904762	0.5670995670995671	0.09090909090909088	50
Lee_PRIMM_UK	Spencer_US	0.46803900325027087	0.5281385281385282	0.06009952488825737	50
Matson_US	Spencer_US	0.45016251354279524	0.5625	0.11233748645720476	50
Frankel_US	Gopalakrishnan_US	0.6298701298701298	0.46944444444444444	0.16042568542568536	500
Frankel_US	Lee_Barcelona	0.3055555555555556	0.3416666666666667	0.036111111111111094	500
Frankel_US	Lee_Leeds	0.16249999999999998	0.38055555555555554	0.21805555555555556	500
Frankel_US	Lee_Manchester	0.4935897435897436	0.4388888888888889	0.05470085470085473	500
Frankel_US	Lee_PRIMM_NL	0.534435261707989	0.46388888888888885	0.0705463728191002	500
Frankel_US	Lee_PRIMM_UK	0.48773448773448774	0.41388888888888886	0.07384559884559888	500
Frankel_US	Matson_US	0.3630952380952381	0.5277777777777778	0.1646825396825397	500
Frankel_US	Spencer_US	0.5319609967497291	0.44166666666666665	0.09029433008306242	500
Gopalakrishnan_US	Lee_Barcelona	0.33333333333333337	0.4935064935064935	0.16017316017316013	500
Gopalakrishnan_US	Lee_Leeds	0.35	0.4805194805194805	0.13051948051948054	500
Gopalakrishnan_US	Lee_Manchester	0.5448717948717949	0.512987012987013	0.03188478188478194	500
Gopalakrishnan_US	Lee_PRIMM_NL	0.709366391184573	0.44805194805194803	0.261314443132625	500
Gopalakrishnan_US	Lee_PRIMM_UK	0.598845598845599	0.6168831168831168	0.018037518037517852	500
Gopalakrishnan_US	Matson_US	0.5535714285714286	0.6688311688311688	0.11525974025974017	500
Gopalakrishnan_US	Spencer_US	0.47887323943661975	0.4155844155844156	0.06328882385220413	500
Lee_Barcelona	Lee_Leeds	0.6875	0.7777777777777779	0.0902777777777779	500
Lee_Barcelona	Lee_Manchester	0.5641025641025641	0.2222222222222222	0.3418803418803419	500
Lee_Barcelona	Lee_PRIMM_NL	0.4380165289256199	0.5555555555555556	0.1175390266299357	500
Lee_Barcelona	Lee_PRIMM_UK	0.5512265512265513	0.41666666666666663	0.13455988455988466	500
Lee_Barcelona	Matson_US	0.45535714285714285	0.3611111111111111	0.09424603174603174	500
Lee_Barcelona	Spencer_US	0.4875406283856988	0.75	0.2624593716143012	500
Lee_Leeds	Lee_Manchester	0.49358974358974356	0.35	0.14358974358974358	500
Lee_Leeds	Lee_PRIMM_NL	0.45041322314049587	0.4875	0.03708677685950412	500
Lee_Leeds	Lee_PRIMM_UK	0.5266955266955268	0.7375	0.21080447330447327	500
Lee_Leeds	Matson_US	0.34523809523809523	0.7375	0.3922619047619048	500
Lee_Leeds	Spencer_US	0.4756229685807151	0.55	0.07437703141928492	500
Lee_Manchester	Lee_PRIMM_NL	0.5440771349862259	0.3141025641025641	0.2299745708836618	500
Lee_Manchester	Lee_PRIMM_UK	0.6176046176046177	0.3333333333333333	0.2842712842712844	500
Lee_Manchester	Matson_US	0.4166666666666667	0.34615384615384615	0.07051282051282054	500
Lee_Manchester	Spencer_US	0.45828819068255683	0.3269230769230769	0.1313651137594799	500
Lee_PRIMM_NL	Lee_PRIMM_UK	0.56998556998557	0.6597796143250688	0.08979404433949878	500
Lee_PRIMM_NL	Matson_US	0.5595238095238095	0.36914600550964183	0.1903778040141677	500
Lee_PRIMM_NL	Spencer_US	0.5140845070422535	0.5068870523415977	0.007197454700655803	500
Lee_PRIMM_UK	Matson_US	0.5148809523809523	0.49350649350649356	0.021374458874458768	500
Lee_PRIMM_UK	Spencer_US	0.5471289274106175	0.4314574314574315	0.11567149595318599	500
Matson_US	Spencer_US	0.47616468039003246	0.6041666666666666	0.12800198627663417	500
