feature_cap	directed_auc_spearman_vs_cap500	directed_auc_mean_absolute_difference_vs_cap500	reciprocal_asymmetry_spearman_vs_cap500	reciprocal_asymmetry_mean_absolute_difference_vs_cap500
10	0.1576947970123854	0.10863368230325657	-0.07388320084394144	0.1075920802593338
25	0.2871797345517237	0.10706659785131563	0.19613899613899616	0.08506797406111855
50	0.32006013542638434	0.10647437307835302	-0.07438867438867439	0.10914226766499492
500	0.9999999999999998	0.0	1.0	0.0
