layer	feature	k	pooled_effect	se	ci_low	ci_high	p_value	tau2	Q	Q_p	I2	prediction_low	prediction_high	positive_studies	negative_studies	sign_consistency	minimum_effect	maximum_effect	median_effect	significant_positive_studies	significant_negative_studies	study_list	fdr_q
pathway	1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	5	-0.12894745791063025	0.12211675406905516	-0.46799792200830115	0.21010300618704067	0.35055265394325374	4.1599489563258886e-11	3.9902039497668818	0.40733322433019503	0.0	-0.5175774712529896	0.25968255543172913	1	4	0.8	-0.40176082531857593	0.5042633242279054	-0.25387235446918344	0	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.941640018265116
pathway	ANAEROFRUCAT-PWY: homolactic fermentation	5	-0.12432286577578062	0.12848518796608036	-0.4810549369946228	0.2324092054430616	0.38803531881803915	4.225897386481647e-11	4.425295818150183	0.3514975920762019	9.61056244886158	-0.5332200780254714	0.2845743464739102	1	4	0.8	-0.5158288202789258	0.4490348948718257	-0.30400708092490686	0	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.941640018265116
pathway	ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	5	-0.12100595328073388	0.13116709705858576	-0.4851841978720482	0.24317229131058044	0.40845995732763385	4.1901825408820665e-11	4.610466008861736	0.32964926171496817	13.240874299655712	-0.538438197197942	0.29642629063647413	1	4	0.8	-0.4344877329704164	0.5367859657715819	-0.3087881504148061	0	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.941640018265116
pathway	ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	5	0.10935469995845541	0.14930333461274375	-0.30517781261680527	0.5238872125337161	0.5045098067196312	0.02133697896356036	3.9628384298762622	0.4110584826046373	0.0	-0.5553764795119311	0.7740858794288419	4	1	0.8	-0.09864379723756367	0.6722302840672488	0.13889214196832048	0	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.941640018265116
pathway	ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	5	0.14289113447277613	0.12202207590035741	-0.19589646088684481	0.48167872983239707	0.3065876111841379	4.538397029308253e-11	2.933873950360942	0.568951727943225	0.0	-0.245437570731192	0.5312198396767442	4	1	0.8	-0.056890471426311505	0.6895225982280541	0.15917516224129472	0	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.941640018265116
pathway	ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis	5	-0.18185819861580543	0.13927327582908322	-0.5685428035763257	0.20482640634471483	0.26166586679691445	4.1669615465615844e-11	5.180511675673905	0.2692722380310887	22.78754975531136	-0.6250879211789131	0.2613715239473023	2	3	0.6	-0.7056640399460359	0.3148209346496989	-0.21082702243546844	0	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.941640018265116
pathway	ARGORNPROST-PWY: arginine, ornithine and proline interconversion	5	-0.019968066982234543	0.12331688210082813	-0.36235062067933216	0.3224144867148631	0.8792152096517394	4.0829838021498017e-11	4.086566760244835	0.3944170652509562	2.1183248757117616	-0.4124174233299706	0.37248128936550157	1	4	0.8	-0.25982847439889095	0.7874102766327556	-0.11844010720970728	0	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.9826175815195255
pathway	ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	5	-0.029111999606832174	0.19333701299363068	-0.5659016029865603	0.507677603772896	0.8875979592200518	0.06380495614424253	6.567845422658375	0.1605654550139698	39.097226828749335	-1.0414308950074318	0.9832068957937675	2	3	0.6	-0.4482988628657311	0.7230777917099214	-0.09086475898722841	1	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.9826175815195255
pathway	ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	5	-0.01906160735496872	0.19250499183199796	-0.5535411496530607	0.5154179349431232	0.9258872291674128	0.06205044343433201	6.54391965906318	0.16204403963142747	38.87455518406173	-1.0209441035410118	0.9828208888310743	2	3	0.6	-0.4118593797181726	0.7258857892457089	-0.09656229664674562	1	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.9826175815195255
pathway	ARO-PWY: chorismate biosynthesis I	5	-0.06765255617506441	0.16521833011663606	-0.5263721801163518	0.3910670677662229	0.7031703786699525	0.02393850938550338	5.578647035798447	0.23290235137865775	28.298026845365783	-0.7880083001701501	0.6527031878200213	1	4	0.8	-0.4456350729065699	0.6529086716298733	-0.10057491026849857	0	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.9795255493262657
