layer	feature	k	pooled_effect	se	ci_low	ci_high	p_value	tau2	Q	Q_p	I2	prediction_low	prediction_high	positive_studies	negative_studies	sign_consistency	minimum_effect	maximum_effect	median_effect	significant_positive_studies	significant_negative_studies	study_list	fdr_q	classification	dominant_study_absolute_effect_share	any_leave_one_study_sign_flip	functional_category
pathway	PWY4LZ-257: superpathway of fermentation (Chlamydomonas reinhardtii)	5	0.3544531809479396	0.1859649718761555	-0.16186835495585766	0.8707747168517368	0.12933769237499498	0.05755070345944999	6.409196800915323	0.1706023930381597	37.589683633544475	-0.6115315914528401	1.3204379533487192	5	0	1.0	0.09046723240770888	1.1019602995408964	0.31599927647569404	2	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.941640018265116	CONSISTENT_NONSIGNIFICANT	0.4309085731397585	0	Fermentation/SCFA
pathway	PWY-5189: tetrapyrrole biosynthesis II (from glycine)	5	0.23120489717713336	0.12210613851435986	-0.10781609341566487	0.5702258877699315	0.1312231197258088	4.0846441060943127e-11	1.5546048620588822	0.8169268651862105	0.0	-0.1573913327226412	0.6198011270769079	5	0	1.0	0.045736034897335257	0.5471999164606085	0.18331277080723285	0	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.941640018265116	CONSISTENT_NONSIGNIFICANT	0.4014641090866593	0	Amino acid
pathway	PWY-5136: fatty acid &beta;-oxidation II (peroxisome)	5	0.2553879648296911	0.13683055151391701	-0.1245145501626383	0.6352904798220205	0.13538532085230037	0.009982268116770983	3.326945557151698	0.5046743286898252	0.0	-0.28379835094282185	0.794574280602204	5	0	1.0	0.08562946819292198	0.8213358933304203	0.48272319331701824	0	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.941640018265116	CONSISTENT_NONSIGNIFICANT	0.3970375594925448	0	Lipid
pathway	PWY-7282: 4-amino-2-methyl-5-phosphomethylpyrimidine biosynthesis (yeast)	5	-0.22758330937920812	0.1221976652004843	-0.5668584187916915	0.11169180003327528	0.1360189597488306	4.0699539202272496e-11	2.42704041636576	0.6577462202786926	0.0	-0.6164708180407628	0.16130419928234646	2	3	0.6	-0.3823826518677556	0.22443186913287494	-0.2952844893242676	0	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.941640018265116	OTHER_OR_INSUFFICIENT	0.2934957960659838	0	Nucleotide
pathway	PWY-7332: superpathway of UDP-N-acetylglucosamine-derived O-antigen building blocks biosynthesis	5	-0.22100902720942628	0.12194349184195999	-0.5595784382447632	0.11756038382591061	0.1441464095438164	4.2528190091528985e-11	0.36498273485668564	0.9852421540558923	0.0	-0.6090876428302101	0.1670695884113575	0	5	1.0	-0.431394096503062	-0.16003668604967827	-0.1983972155774419	0	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.941640018265116	CONSISTENT_NONSIGNIFICANT	0.3321078873189927	0	Other
pathway	PWY-6895: superpathway of thiamin diphosphate biosynthesis II	5	0.29314161485415335	0.1633533757595154	-0.16040006569088905	0.7466832953991958	0.14717330691347744	0.035839869731645484	4.466522708766831	0.3465354976355205	10.444874887821499	-0.50262394580214	1.0889071755104467	5	0	1.0	0.040284465969752645	0.6909482984723205	0.5685718721925767	0	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.941640018265116	CONSISTENT_NONSIGNIFICANT	0.326352932495333	0	Cofactor/vitamin
pathway	PWY0-1298: superpathway of pyrimidine deoxyribonucleosides degradation	5	0.24284056798201858	0.13532460734088161	-0.13288077568238554	0.6185619116464227	0.14717677421782238	0.008855835452610738	3.2205967967672047	0.5216106478780406	0.0	-0.2817187347054738	0.767399870669511	5	0	1.0	0.07575914211844242	0.7671256969504362	0.4494762813621405	0	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.941640018265116	CONSISTENT_NONSIGNIFICANT	0.379085031843392	0	Nucleotide
pathway	P161-PWY: acetylene degradation	5	0.2998417020389453	0.1698147186860852	-0.17163954244757623	0.7713229465254667	0.15220124953568276	0.04348043089172236	5.414998169283937	0.24730286077036268	26.131092293075547	-0.5559788186109458	1.1556622226888364	5	0	1.0	0.035388623417584565	0.897863212861351	0.33458527719780945	1	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.941640018265116	STUDY_SPECIFIC	0.394943491526245	0	Other
pathway	PWY-6284: superpathway of unsaturated fatty acids biosynthesis (E. coli)	5	0.21317413504784483	0.12232106958768067	-0.12644359987142983	0.5527918699671195	0.1563361432427832	4.2980989174935606e-11	3.9258611719820475	0.41613242310275966	0.0	-0.17610610147894235	0.602454371574632	4	1	0.8	-0.4816402634767272	0.5805252059129604	0.22413022857187548	0	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.941640018265116	CONSISTENT_NONSIGNIFICANT	0.3330890638877745	0	Lipid
pathway	PWY0-1277: 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation	5	0.20424040911828908	0.12217064072680996	-0.13495966832654063	0.5434404865631188	0.16988913513934628	4.615102554584294e-11	2.7699565974215647	0.5970297863294993	0.0	-0.18456109567798892	0.5930419139145671	4	1	0.8	-0.14253106676312774	0.7437456176780409	0.19428319026857382	0	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.941640018265116	CONSISTENT_NONSIGNIFICANT	0.4924825392610934	0	Fermentation/SCFA
pathway	PWY-5367: petroselinate biosynthesis	5	0.20272858875957528	0.12228220443842518	-0.1367812392062862	0.5422384167254368	0.1726825960559676	4.314116699171561e-11	3.862328346915957	0.4249581861114805	0.0	-0.18642796151882152	0.591885139037972	4	1	0.8	-0.49820293194148607	0.5472830694361759	0.21231213902753082	0	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.941640018265116	CONSISTENT_NONSIGNIFICANT	0.3152831564921779	0	Other
pathway	P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate	5	0.20069191798708633	0.12224243026296731	-0.1387074791640119	0.5400913151381845	0.1759854921348253	4.2868185921403976e-11	3.386757955761875	0.49530455304701904	0.0	-0.1883380531102082	0.5897218890843808	4	1	0.8	-0.22349426075701598	0.6372014382328682	0.22795900068580274	0	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.941640018265116	CONSISTENT_NONSIGNIFICANT	0.3672888236383092	0	Fermentation/SCFA
pathway	PWY-5971: palmitate biosynthesis II (bacteria and plants)	5	0.21199481361424397	0.12937640189581684	-0.14721166415749923	0.5712012913859872	0.17664138701890952	4.370945876706856e-11	4.470053357780044	0.34611316046797114	10.515609549982772	-0.1997386391275888	0.6237282663560767	4	1	0.8	-0.5529774593847632	0.5339839194913215	0.2296059233672726	0	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.941640018265116	CONSISTENT_NONSIGNIFICANT	0.2978096092073432	0	Lipid
pathway	PWY-4984: urea cycle	5	-0.19926295810050898	0.1220115487155665	-0.5380213253094457	0.13949540910842778	0.1777753575608549	4.0853614037491327e-11	1.6364961002477494	0.802218212699819	0.0	-0.5875581610451024	0.18903224484408437	1	4	0.8	-0.46185869671895763	0.13089735755600404	-0.19437726720904094	0	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.941640018265116	CONSISTENT_NONSIGNIFICANT	0.36031766885352123	0	Other
pathway	PWY-6731: starch degradation III	5	-0.203226557758802	0.12593062600028998	-0.5528660279118011	0.14641291239419707	0.18186988697012532	4.0763416723861254e-11	4.237409247029607	0.3748284243882809	5.602698091906726	-0.603994013710564	0.19754089819296006	1	4	0.8	-0.7115003374380017	0.16434290559112552	-0.1487505369177302	0	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.941640018265116	CONSISTENT_NONSIGNIFICANT	0.4033333419437782	0	Carbohydrate
pathway	PWY-6113: superpathway of mycolate biosynthesis	5	0.20266140917735154	0.12567333272573342	-0.1462637003229047	0.5515865186776078	0.18212550826480106	4.3490983006054104e-11	4.222140674059632	0.37677634751746675	5.261328108379703	-0.1972872247790135	0.6026100431337166	4	1	0.8	-0.5325867533899452	0.5791656453633897	0.21873098785679165	0	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.941640018265116	CONSISTENT_NONSIGNIFICANT	0.3318013765642142	0	Other
