scheme	mode	seed	prediction_type	n	responders	non_responders	prevalence	roc_auc	pr_auc	pr_lift	brier	log_loss	calibration_intercept	calibration_slope	macro_roc_auc	macro_pr_auc	folds
LODO	online_adaptive	20260802	locked_downstream	363	217	146	0.5977961432506887	0.5518906634682155	0.6269246183329771	1.0487264352759016	0.3203408280044202	0.9774604310840911	0.41154613320811034	0.08690831376171845	0.5502379540204978	0.6253935198401022	9
LODO	online_adaptive	20260802	embedded_DEBIASM	363	217	146	0.5977961432506887	0.44429013319866173	0.5439838271362687	0.9099821624445416	0.24927605930894908	0.693308260366367	0.7336819227613878	-0.7442796450834812	0.5038783895164605	0.5906676623437735	9
LODO	online_adaptive	20260803	locked_downstream	363	217	146	0.5977961432506887	0.5533110283441702	0.6264623398579117	1.047953130730055	0.31973869802487076	0.975525728192754	0.41155823903848177	0.08804170304480924	0.5536354107630249	0.6281313227259739	9
LODO	online_adaptive	20260803	embedded_DEBIASM	363	217	146	0.5977961432506887	0.4525913768070198	0.5517399516074009	0.9229566932418732	0.2484087147746333	0.6913859088520777	0.694392279084987	-0.6342094989380317	0.5128630042362438	0.5962152018991386	9
LODO	online_adaptive	20260804	locked_downstream	363	217	146	0.5977961432506887	0.5525535004103277	0.6263470683479422	1.0477603032732856	0.3198756236135042	0.9762865714121585	0.4115526181239773	0.08746905339739133	0.5552711017819854	0.6328655331543906	9
LODO	online_adaptive	20260804	embedded_DEBIASM	363	217	146	0.5977961432506887	0.44981377438293035	0.5486060790802654	0.9177143166181397	0.24890198527006427	0.6925186397796761	0.7078364470139067	-0.6656240886916627	0.5133657933647264	0.5934703425892035	9
LODO	online_adaptive	20260805	locked_downstream	363	217	146	0.5977961432506887	0.5515434631652043	0.6269281825952617	1.0487323976132719	0.3201972835042427	0.9762829670392135	0.4117955689464405	0.08778167731398992	0.5518326252161079	0.62613498783042	9
LODO	online_adaptive	20260805	embedded_DEBIASM	363	217	146	0.5977961432506887	0.44732024493403194	0.5479679734094343	0.9166468863945835	0.2491486425999809	0.693005548102023	0.7225617427970614	-0.7087765030791354	0.5123958317887042	0.5941013324021223	9
LODO	online_adaptive	20260806	locked_downstream	363	217	146	0.5977961432506887	0.5524588094185974	0.6276765408652015	1.0499842596040005	0.3200859623718852	0.9762998674684654	0.41137303334174474	0.08746171733180233	0.5583811518937426	0.6370203037953958	9
LODO	online_adaptive	20260806	embedded_DEBIASM	363	217	146	0.5977961432506887	0.4490878101129979	0.5517707243574018	0.9230081702384186	0.24893126414335276	0.692513201128378	0.6970557915270879	-0.6500029073849839	0.5102883466733232	0.5879528440829732	9
