scheme	held_out_group	mode	seed	status	n_train	n_target	n_features	corrected_training_pseudocount	locked_nonzero_coefficients	batch_mapping_json	runtime_seconds	matrix_sha256	manifest_sha256	estimand	DEBIAS_M_min_epochs	elastic_net_C	elastic_net_l1_ratio	elastic_net_class_weight
LODO	Gopalakrishnan_US	online_adaptive	20260802	PASS	338	25	497	9.290054157709225e-08	181	"{""Frankel_US"": 0, ""Gopalakrishnan_US"": 8, ""Lee_Barcelona"": 1, ""Lee_Leeds"": 2, ""Lee_Manchester"": 3, ""Lee_PRIMM_NL"": 4, ""Lee_PRIMM_UK"": 5, ""Matson_US"": 6, ""Spencer_US"": 7}"	23.171714544296265	fb520df3b2d65c4f41eb1f03eb3260ac0a79d3172d519f689d22c95f527f3e2c	3d575891452e9404894befcf8a4d32a7d941fe77ba3d4dfe26a016b670927806	deployment_time_target_batch_adaptation	25	0.2	0.75	balanced
LODO	Gopalakrishnan_US	online_adaptive	20260803	PASS	338	25	497	9.266768037228669e-08	180	"{""Frankel_US"": 0, ""Gopalakrishnan_US"": 8, ""Lee_Barcelona"": 1, ""Lee_Leeds"": 2, ""Lee_Manchester"": 3, ""Lee_PRIMM_NL"": 4, ""Lee_PRIMM_UK"": 5, ""Matson_US"": 6, ""Spencer_US"": 7}"	21.192955255508423	fb520df3b2d65c4f41eb1f03eb3260ac0a79d3172d519f689d22c95f527f3e2c	3d575891452e9404894befcf8a4d32a7d941fe77ba3d4dfe26a016b670927806	deployment_time_target_batch_adaptation	25	0.2	0.75	balanced
LODO	Gopalakrishnan_US	online_adaptive	20260804	PASS	338	25	497	9.388464464921345e-08	177	"{""Frankel_US"": 0, ""Gopalakrishnan_US"": 8, ""Lee_Barcelona"": 1, ""Lee_Leeds"": 2, ""Lee_Manchester"": 3, ""Lee_PRIMM_NL"": 4, ""Lee_PRIMM_UK"": 5, ""Matson_US"": 6, ""Spencer_US"": 7}"	21.43058156967163	fb520df3b2d65c4f41eb1f03eb3260ac0a79d3172d519f689d22c95f527f3e2c	3d575891452e9404894befcf8a4d32a7d941fe77ba3d4dfe26a016b670927806	deployment_time_target_batch_adaptation	25	0.2	0.75	balanced
LODO	Gopalakrishnan_US	online_adaptive	20260805	PASS	338	25	497	9.449478336330333e-08	181	"{""Frankel_US"": 0, ""Gopalakrishnan_US"": 8, ""Lee_Barcelona"": 1, ""Lee_Leeds"": 2, ""Lee_Manchester"": 3, ""Lee_PRIMM_NL"": 4, ""Lee_PRIMM_UK"": 5, ""Matson_US"": 6, ""Spencer_US"": 7}"	23.072148323059082	fb520df3b2d65c4f41eb1f03eb3260ac0a79d3172d519f689d22c95f527f3e2c	3d575891452e9404894befcf8a4d32a7d941fe77ba3d4dfe26a016b670927806	deployment_time_target_batch_adaptation	25	0.2	0.75	balanced
LODO	Gopalakrishnan_US	online_adaptive	20260806	PASS	338	25	497	9.31841818874769e-08	178	"{""Frankel_US"": 0, ""Gopalakrishnan_US"": 8, ""Lee_Barcelona"": 1, ""Lee_Leeds"": 2, ""Lee_Manchester"": 3, ""Lee_PRIMM_NL"": 4, ""Lee_PRIMM_UK"": 5, ""Matson_US"": 6, ""Spencer_US"": 7}"	24.385220527648926	fb520df3b2d65c4f41eb1f03eb3260ac0a79d3172d519f689d22c95f527f3e2c	3d575891452e9404894befcf8a4d32a7d941fe77ba3d4dfe26a016b670927806	deployment_time_target_batch_adaptation	25	0.2	0.75	balanced
LODO	Gopalakrishnan_US	standard_transductive	20260802	PASS	338	25	497	1.0099381612518807e-07	177	"{""Frankel_US"": 0, ""Gopalakrishnan_US"": 8, ""Lee_Barcelona"": 1, ""Lee_Leeds"": 2, ""Lee_Manchester"": 3, ""Lee_PRIMM_NL"": 4, ""Lee_PRIMM_UK"": 5, ""Matson_US"": 6, ""Spencer_US"": 7}"	4.478020191192627	fb520df3b2d65c4f41eb1f03eb3260ac0a79d3172d519f689d22c95f527f3e2c	3d575891452e9404894befcf8a4d32a7d941fe77ba3d4dfe26a016b670927806	transductive_target_distribution	25	0.2	0.75	balanced
LODO	Gopalakrishnan_US	standard_transductive	20260803	PASS	338	25	497	1.0088264613790216e-07	179	"{""Frankel_US"": 0, ""Gopalakrishnan_US"": 8, ""Lee_Barcelona"": 1, ""Lee_Leeds"": 2, ""Lee_Manchester"": 3, ""Lee_PRIMM_NL"": 4, ""Lee_PRIMM_UK"": 5, ""Matson_US"": 6, ""Spencer_US"": 7}"	4.392940521240234	fb520df3b2d65c4f41eb1f03eb3260ac0a79d3172d519f689d22c95f527f3e2c	3d575891452e9404894befcf8a4d32a7d941fe77ba3d4dfe26a016b670927806	transductive_target_distribution	25	0.2	0.75	balanced
LODO	Gopalakrishnan_US	standard_transductive	20260804	PASS	338	25	497	1.0265155540021277e-07	178	"{""Frankel_US"": 0, ""Gopalakrishnan_US"": 8, ""Lee_Barcelona"": 1, ""Lee_Leeds"": 2, ""Lee_Manchester"": 3, ""Lee_PRIMM_NL"": 4, ""Lee_PRIMM_UK"": 5, ""Matson_US"": 6, ""Spencer_US"": 7}"	4.367987632751465	fb520df3b2d65c4f41eb1f03eb3260ac0a79d3172d519f689d22c95f527f3e2c	3d575891452e9404894befcf8a4d32a7d941fe77ba3d4dfe26a016b670927806	transductive_target_distribution	25	0.2	0.75	balanced
LODO	Gopalakrishnan_US	standard_transductive	20260805	PASS	338	25	497	1.0285488237659302e-07	179	"{""Frankel_US"": 0, ""Gopalakrishnan_US"": 8, ""Lee_Barcelona"": 1, ""Lee_Leeds"": 2, ""Lee_Manchester"": 3, ""Lee_PRIMM_NL"": 4, ""Lee_PRIMM_UK"": 5, ""Matson_US"": 6, ""Spencer_US"": 7}"	4.547562599182129	fb520df3b2d65c4f41eb1f03eb3260ac0a79d3172d519f689d22c95f527f3e2c	3d575891452e9404894befcf8a4d32a7d941fe77ba3d4dfe26a016b670927806	transductive_target_distribution	25	0.2	0.75	balanced
LODO	Gopalakrishnan_US	standard_transductive	20260806	PASS	338	25	497	1.0152845066568062e-07	178	"{""Frankel_US"": 0, ""Gopalakrishnan_US"": 8, ""Lee_Barcelona"": 1, ""Lee_Leeds"": 2, ""Lee_Manchester"": 3, ""Lee_PRIMM_NL"": 4, ""Lee_PRIMM_UK"": 5, ""Matson_US"": 6, ""Spencer_US"": 7}"	4.429237365722656	fb520df3b2d65c4f41eb1f03eb3260ac0a79d3172d519f689d22c95f527f3e2c	3d575891452e9404894befcf8a4d32a7d941fe77ba3d4dfe26a016b670927806	transductive_target_distribution	25	0.2	0.75	balanced
LODO	Lee_Barcelona	online_adaptive	20260802	PASS	351	12	479	7.414821125765228e-08	175	"{""Frankel_US"": 0, ""Gopalakrishnan_US"": 1, ""Lee_Barcelona"": 8, ""Lee_Leeds"": 2, ""Lee_Manchester"": 3, ""Lee_PRIMM_NL"": 4, ""Lee_PRIMM_UK"": 5, ""Matson_US"": 6, ""Spencer_US"": 7}"	20.267082691192627	fb520df3b2d65c4f41eb1f03eb3260ac0a79d3172d519f689d22c95f527f3e2c	3d575891452e9404894befcf8a4d32a7d941fe77ba3d4dfe26a016b670927806	deployment_time_target_batch_adaptation	25	0.2	0.75	balanced
LODO	Lee_Barcelona	online_adaptive	20260803	PASS	351	12	479	7.508987091506945e-08	179	"{""Frankel_US"": 0, ""Gopalakrishnan_US"": 1, ""Lee_Barcelona"": 8, ""Lee_Leeds"": 2, ""Lee_Manchester"": 3, ""Lee_PRIMM_NL"": 4, ""Lee_PRIMM_UK"": 5, ""Matson_US"": 6, ""Spencer_US"": 7}"	19.6165828704834	fb520df3b2d65c4f41eb1f03eb3260ac0a79d3172d519f689d22c95f527f3e2c	3d575891452e9404894befcf8a4d32a7d941fe77ba3d4dfe26a016b670927806	deployment_time_target_batch_adaptation	25	0.2	0.75	balanced
