scheme	held_out_group	mode	seed	prediction_type	n	responders	non_responders	prevalence	roc_auc	pr_auc	pr_lift	brier	log_loss	calibration_intercept	calibration_slope
LODO	Gopalakrishnan_US	online_adaptive	20260806	locked_downstream	25	14	11	0.56	0.5714285714285714	0.6055644950287807	1.0813651696942512	0.2816443637055585	0.880195943880085	0.18181814489628115	0.0901060460312585
LODO	Gopalakrishnan_US	online_adaptive	20260806	embedded_DEBIASM	25	14	11	0.56	0.551948051948052	0.6042569214774183	1.0790302169239612	0.2502577663309717	0.6941290152878818	-0.17984023297571028	0.7836184609035645
LODO	Gopalakrishnan_US	standard_transductive	20260802	locked_downstream	25	14	11	0.56	0.5584415584415584	0.5852118119975263	1.0450210928527253	0.2911486307051467	0.8745295646541006	0.237590573294603	0.004444464136462121
LODO	Gopalakrishnan_US	standard_transductive	20260802	embedded_DEBIASM	25	14	11	0.56	0.487012987012987	0.6103122638081919	1.089843328228914	0.2557107574206453	0.7055561622343816	0.23760601842526602	0.007221584761307444
LODO	Gopalakrishnan_US	standard_transductive	20260803	locked_downstream	25	14	11	0.56	0.5454545454545454	0.5812256325455083	1.0379029152598362	0.29077951508252375	0.8715161199996128	0.23428420077934162	0.008566671715277445
LODO	Gopalakrishnan_US	standard_transductive	20260803	embedded_DEBIASM	25	14	11	0.56	0.5	0.6345412887515025	1.1331094441991114	0.2548434731396991	0.7040179314176973	0.14073235853152588	0.18738032362109783
LODO	Gopalakrishnan_US	standard_transductive	20260804	locked_downstream	25	14	11	0.56	0.5454545454545454	0.5812256325455083	1.0379029152598362	0.2935590780316192	0.8804950602050755	0.24695174534316883	-0.007260530313636488
LODO	Gopalakrishnan_US	standard_transductive	20260804	embedded_DEBIASM	25	14	11	0.56	0.49350649350649345	0.6489478847232246	1.1588355084343296	0.25625199491109274	0.7064859052678111	0.1396104066181792	0.18002172370042582
LODO	Gopalakrishnan_US	standard_transductive	20260805	locked_downstream	25	14	11	0.56	0.5584415584415584	0.5852118119975263	1.0450210928527253	0.29138944142928724	0.8740279995686491	0.23825074511037303	0.0035884444424403032
LODO	Gopalakrishnan_US	standard_transductive	20260805	embedded_DEBIASM	25	14	11	0.56	0.4805194805194805	0.6040424225383506	1.0786471831041975	0.25794005570595663	0.7110228585246503	0.26784713318786807	-0.04953280662306387
