scheme	held_out_group	mode	seed	prediction_type	debiasm_roc_auc	frozen_baseline_roc_auc	delta_roc_auc	debiasm_pr_auc	frozen_baseline_pr_auc	delta_pr_auc	debiasm_brier	frozen_baseline_brier	delta_brier
LODO	Frankel_US	online_adaptive	20260802	locked_downstream	0.5111111111111111	0.4777777777777778	0.03333333333333327	0.6325976277951257	0.6314741194417396	0.001123508353386149	0.3818453751633288	0.3446585736288789	0.037186801534449865
LODO	Frankel_US	online_adaptive	20260802	embedded_DEBIASM	0.5972222222222222	0.4777777777777778	0.11944444444444441	0.6864306182264173	0.6314741194417396	0.054956498784677676	0.2306987729957733	0.3446585736288789	-0.11395980063310562
LODO	Frankel_US	online_adaptive	20260803	locked_downstream	0.5166666666666667	0.4777777777777778	0.03888888888888892	0.6376278984503964	0.6314741194417396	0.006153779008656768	0.3806156305258812	0.3446585736288789	0.03595705689700229
LODO	Frankel_US	online_adaptive	20260803	embedded_DEBIASM	0.5944444444444444	0.4777777777777778	0.11666666666666664	0.6758136407661427	0.6314741194417396	0.04433952132440311	0.23075206330074677	0.3446585736288789	-0.11390651032813215
LODO	Frankel_US	online_adaptive	20260804	locked_downstream	0.5083333333333333	0.4777777777777778	0.030555555555555503	0.6296214373189352	0.6314741194417396	-0.0018526821228044277	0.38068737061324653	0.3446585736288789	0.03602879698436762
LODO	Frankel_US	online_adaptive	20260804	embedded_DEBIASM	0.6000000000000001	0.4777777777777778	0.12222222222222229	0.6971592897159583	0.6314741194417396	0.06568517027421872	0.23006183806846991	0.3446585736288789	-0.114596735560409
LODO	Frankel_US	online_adaptive	20260805	locked_downstream	0.5166666666666667	0.4777777777777778	0.03888888888888892	0.6376278984503964	0.6314741194417396	0.006153779008656768	0.38179779535228003	0.3446585736288789	0.03713922172340112
LODO	Frankel_US	online_adaptive	20260805	embedded_DEBIASM	0.5972222222222223	0.4777777777777778	0.11944444444444452	0.6837867787392807	0.6314741194417396	0.05231265929754114	0.23049878439948066	0.3446585736288789	-0.11415978922939826
LODO	Frankel_US	online_adaptive	20260806	locked_downstream	0.5166666666666666	0.4777777777777778	0.038888888888888806	0.6389010465985445	0.6314741194417396	0.00742692715680493	0.3815443706284115	0.3446585736288789	0.036885796999532594
LODO	Frankel_US	online_adaptive	20260806	embedded_DEBIASM	0.5944444444444444	0.4777777777777778	0.11666666666666664	0.6945682533013925	0.6314741194417396	0.0630941338596529	0.23037115224152233	0.3446585736288789	-0.11428742138735659
LODO	Frankel_US	standard_transductive	20260802	locked_downstream	0.5111111111111111	0.4777777777777778	0.03333333333333327	0.6419253781383222	0.6314741194417396	0.010451258696582588	0.34535981490960505	0.3446585736288789	0.0007012412807261281
