species	available_scenarios	same_pooled_direction_all_scenarios	pooled_effect_range	same_classification_all_scenarios	primary_classification	primary_pooled_effect	primary_fdr_q	primary_I2	S1_effect	S2_effect	S3_effect	S1_classification	S2_classification	S3_classification
s__Oscillibacter_valericigenes	4	1	0.0	1	OTHER_OR_INSUFFICIENT	-0.0248839732794858	0.9899399288667535	0.0	-0.0248839732794858	-0.0248839732794858	-0.0248839732794858	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT
s__Parabacteroides_distasonis	4	1	0.04061582236815867	1	OTHER_OR_INSUFFICIENT	0.09426383829222487	0.9899399288667535	0.0	0.08636485136296883	0.07827838339704603	0.0536480159240662	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT
s__Parabacteroides_goldsteinii	4	1	0.01804816968218316	0	CONSISTENT_NONSIGNIFICANT	-0.05883316237753627	0.9899399288667535	0.0	-0.05374023345864627	-0.049080710217891704	-0.04078499269535311	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT
s__Parabacteroides_johnsonii	4	1	0.0	1	OTHER_OR_INSUFFICIENT	-0.07785951967034564	0.9899399288667535	0.0	-0.07785951967034564	-0.07785951967034564	-0.07785951967034564	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT
s__Parabacteroides_merdae	4	1	0.053148810250293416	0	CONSISTENT_NONSIGNIFICANT	0.2558964548723134	0.9899399288667535	14.759241385215137	0.25279504547067183	0.2509794596102472	0.20274764462201997	CONSISTENT_NONSIGNIFICANT	CONSISTENT_NONSIGNIFICANT	OTHER_OR_INSUFFICIENT
s__Paraprevotella_clara	4	1	0.00884004471713648	1	OTHER_OR_INSUFFICIENT	-0.09121254140445768	0.9899399288667535	7.39584196718662	-0.08600626957627239	-0.0823724966873212	-0.09075857903363935	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT
s__Parasutterella_SGB9260	4	1	0.051183622686132524	1	OTHER_OR_INSUFFICIENT	0.10327744089453603	0.9899399288667535	0.0	0.11301891501698064	0.1175920296318601	0.15446106358066855	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT
s__Parasutterella_excrementihominis	4	1	0.017703430684495078	1	OTHER_OR_INSUFFICIENT	-0.06698295204972286	0.9899399288667535	0.0	-0.06069318592234488	-0.055281278338291245	-0.07298470902278632	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT
s__Phascolarctobacterium_SGB4573	4	1	0.0	1	DOMAIN_SPECIFIC	-0.10690534014692896	0.9899399288667535	56.60269037705143	-0.10690534014692896	-0.10690534014692896	-0.10690534014692896	DOMAIN_SPECIFIC	DOMAIN_SPECIFIC	DOMAIN_SPECIFIC
s__Phascolarctobacterium_faecium	4	1	0.04889222452335652	1	OTHER_OR_INSUFFICIENT	0.12105904073388933	0.9899399288667535	0.0	0.12797599593544648	0.1326617637862548	0.16995126525724585	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT
s__Phascolarctobacterium_succinatutens	4	1	0.08198580140064597	1	OTHER_OR_INSUFFICIENT	0.162376837062699	0.9899399288667535	19.538803538742204	0.162376837062699	0.162376837062699	0.08039103566205304	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT
s__Phocaeicola_dorei	4	1	0.07115187791368786	1	OTHER_OR_INSUFFICIENT	0.007435868225730702	0.9899399288667535	0.0	0.01570593788829409	0.02439349237224219	0.07858774613941856	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT
s__Phocaeicola_massiliensis	4	1	0.025329276748641306	1	OTHER_OR_INSUFFICIENT	-0.06984693872927857	0.9899399288667535	0.0	-0.0646592179813889	-0.059895589105918044	-0.04451766198063726	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT
s__Phocaeicola_plebeius	4	1	0.0537279080605004	1	OTHER_OR_INSUFFICIENT	0.09572474371225978	0.9899399288667535	24.41482793611898	0.10400550457228029	0.10821474125805346	0.14945265177276018	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT
