scenario	analysis_level	effect_type	species	k	pooled_effect	se	ci_low	ci_high	p_value	fdr_q	tau2	Q	Q_p	I2	prediction_low	prediction_high	positive_groups	negative_groups	zero_groups	sign_consistency	significant_positive_groups	significant_negative_groups	minimum_effect	maximum_effect	median_effect	group_list
PRIMARY	domain	CLR_HEDGES_G	s__Acidaminococcus_intestini	5	0.10418894885289762	0.14527495219957987	-0.29915898108946937	0.5075368787952645	0.5129103749607732	0.9899399288667535	4.7632328877064845e-11	2.1993791092116313	0.6991429494927881	0.0	-0.35814078654664816	0.5665186842524433	3	2	0	0.6	0	0	-0.20737223116992284	0.3240567677907704	0.20284466106349353	Frankel_US;Gopalakrishnan_US;Lee_Leeds;Matson_US;Spencer_US
PRIMARY	domain	PRESENCE_LOG_OR	s__Acidaminococcus_intestini	5	0.32445884664922	0.3381882509848627	-0.614502267433105	1.2634199607315448	0.3916858636964291	0.9996325270282626	5.924604627948341e-11	1.7463356369836898	0.7822844949795057	0.0	-0.7518071034666767	1.4007247967651166	3	2	0	0.6	0	0	-0.3184537311185346	1.0296194171811581	0.25131442828090617	Frankel_US;Gopalakrishnan_US;Lee_Leeds;Matson_US;Spencer_US
PRIMARY	domain	CLR_HEDGES_G	s__Actinobaculum_sp_oral_taxon_183	4	-0.018809694984412414	0.15552968484322888	-0.5137745658756856	0.4761551759068608	0.9113843865419567	0.9899399288667535	5.7731032137484997e-11	1.2461410584657084	0.7419603619404992	0.0	-0.6879999188307551	0.6503805288619302	2	2	0	0.5	0	0	-0.31958964605652906	0.19104728998315473	-0.05041812257696018	Frankel_US;Lee_Manchester;Lee_PRIMM_NL;Lee_PRIMM_UK
PRIMARY	domain	PRESENCE_LOG_OR	s__Actinobaculum_sp_oral_taxon_183	4	-0.00139545952529897	0.37203232383855905	-1.185368353971433	1.1825774349208351	0.9972426956691874	0.9998995945261049	4.195851603008487e-11	1.1906308652916717	0.755252283249377	0.0	-1.6021213534869416	1.5993304344363437	2	2	0	0.5	0	0	-0.6286086594223742	0.6931471805599453	0.11077113497361797	Frankel_US;Lee_Manchester;Lee_PRIMM_NL;Lee_PRIMM_UK
PRIMARY	domain	CLR_HEDGES_G	s__Actinomyces_SGB17154	6	-0.03797004636081408	0.13564609212332587	-0.38665942684808574	0.3107193341264576	0.7907499448429349	0.9899399288667535	4.662075497283235e-11	3.4441444864793023	0.6318556173829466	0.0	-0.41458397535295505	0.3386438826313269	2	4	0	0.6666666666666666	0	0	-0.3232392356791281	0.4890983317869398	-0.0750444446624847	Frankel_US;Lee_Leeds;Lee_Manchester;Lee_PRIMM_NL;Lee_PRIMM_UK;Matson_US
PRIMARY	domain	PRESENCE_LOG_OR	s__Actinomyces_SGB17154	6	-0.18479560601015402	0.30250839395240026	-0.9624181886317085	0.5928269766114005	0.5679811649594657	0.9996325270282626	4.275373221917554e-11	3.328846952957554	0.6494282059136798	0.0	-1.02469355587674	0.655102343856432	1	5	0	0.8333333333333334	0	0	-0.6286086594223742	1.8362112317988888	-0.30655223644320445	Frankel_US;Lee_Leeds;Lee_Manchester;Lee_PRIMM_NL;Lee_PRIMM_UK;Matson_US
PRIMARY	domain	CLR_HEDGES_G	s__Actinomyces_SGB17157	4	-0.14046929421651225	0.16078904632518978	-0.6521718006242033	0.3712332121911789	0.4466221421670733	0.9899399288667535	0.011398406884332343	3.0322231618900766	0.38668363213083345	1.0626909752246234	-0.9709094083975928	0.6899708199645683	1	3	0	0.75	0	0	-0.4128393279324604	0.21676670870858156	-0.20525236012530437	Frankel_US;Lee_PRIMM_NL;Lee_PRIMM_UK;Matson_US
PRIMARY	domain	PRESENCE_LOG_OR	s__Actinomyces_SGB17157	4	-0.36013983088930285	0.38344833568169384	-1.5804435700466963	0.8601639082680905	0.41690856426733597	0.9996325270282626	4.076009317373149e-11	2.5774862522525015	0.46145017523826937	0.0	-2.0099848593567144	1.2897051975781086	1	3	0	0.75	0	0	-0.8517522107365838	0.7985076962177716	-0.3900792787747875	Frankel_US;Lee_PRIMM_NL;Lee_PRIMM_UK;Matson_US
PRIMARY	domain	CLR_HEDGES_G	s__Actinomyces_SGB17163	4	0.10118496900392711	0.15557239028388878	-0.39391580965918976	0.596285747667044	0.5617997690905276	0.9899399288667535	5.7222543498806025e-11	1.0561896053896438	0.7876591965939506	0.0	-0.5681890015159952	0.7705589395238495	3	1	0	0.75	0	0	-0.13651191206542307	0.22593670268885735	0.1922453624763122	Frankel_US;Lee_Manchester;Lee_PRIMM_NL;Lee_PRIMM_UK
PRIMARY	domain	PRESENCE_LOG_OR	s__Actinomyces_SGB17163	4	0.26502335562121315	0.39963518860588587	-1.006794173818946	1.5368408850613724	0.554630626964469	0.9996325270282626	4.0294096780605216e-11	0.7769853655387206	0.8549635359468705	0.0	-1.4544680797547551	1.9845147909971814	3	1	0	0.75	0	0	-0.06453852113757118	0.7985076962177716	0.32108081291353885	Frankel_US;Lee_Manchester;Lee_PRIMM_NL;Lee_PRIMM_UK
PRIMARY	domain	CLR_HEDGES_G	s__Actinomyces_SGB17168	4	0.08817443854406992	0.20221804248515193	-0.5553736236245057	0.7317225007126456	0.6922815063636553	0.9899399288667535	0.024149804474077628	4.634094555822787	0.2006367152109769	35.26243446563969	-1.0091449237575147	1.1854938008456546	2	2	0	0.5	1	0	-0.1566071557736847	0.8825686159840003	0.010565684562883072	Frankel_US;Lee_Manchester;Lee_PRIMM_NL;Lee_PRIMM_UK
PRIMARY	domain	PRESENCE_LOG_OR	s__Actinomyces_SGB17168	4	0.37675520791903333	0.38269523454732035	-0.8411518273157683	1.5946622431538349	0.39747026879739983	0.9996325270282626	4.400714516141085e-11	3.0710512785115256	0.3807996701481161	2.313581639247739	-1.269849487915492	2.023359903753559	3	1	0	0.75	0	0	-0.13976194237515874	2.6598480992843325	0.5288951470739273	Frankel_US;Lee_Manchester;Lee_PRIMM_NL;Lee_PRIMM_UK
PRIMARY	domain	CLR_HEDGES_G	s__Actinomyces_dentalis	3	-0.3461138215489671	0.16990646444958835	-1.0771623346150683	0.3849346915171341	0.17854910051783845	0.9899399288667535	6.426381401668494e-11	0.859047407374821	0.6508190036048092	0.0	-2.504980147247961	1.8127525041500272	0	3	0	1.0	0	0	-0.5049670292219345	-0.14334544504097638	-0.43720741135482494	Frankel_US;Lee_PRIMM_NL;Lee_PRIMM_UK
PRIMARY	domain	PRESENCE_LOG_OR	s__Actinomyces_dentalis	3	-0.7755445760718583	0.4378151623050599	-2.659311179289428	1.1082220271457115	0.21850656978926167	0.9996325270282626	4.101427302452754e-11	1.2054455004481168	0.5473193915153958	0.0	-6.3385136655166585	4.787424513372941	0	3	0	1.0	0	0	-1.3862943611198906	-0.34740130715340317	-1.2367626271489267	Frankel_US;Lee_PRIMM_NL;Lee_PRIMM_UK
PRIMARY	domain	CLR_HEDGES_G	s__Actinomyces_graevenitzii	5	-0.17190534035681262	0.23721800769370027	-0.8305281166827592	0.48671743596913397	0.5087724238685387	0.9899399288667535	0.16588066251709915	10.048328957982482	0.03962140862676801	60.19238605019629	-1.6718913926989625	1.328080711985337	2	3	0	0.6	0	1	-0.8206111503180656	0.570090150052978	-0.18319773537684805	Frankel_US;Lee_Manchester;Lee_PRIMM_NL;Lee_PRIMM_UK;Matson_US
PRIMARY	domain	PRESENCE_LOG_OR	s__Actinomyces_graevenitzii	5	-0.214169909422509	0.5058264526798599	-1.6185692880450693	1.1902294692000515	0.6937731804986665	0.9996325270282626	0.5830470902043554	8.109406118018741	0.08765172823985945	50.67456307173743	-3.129032731268026	2.7006929124230084	2	3	0	0.6	0	1	-1.742969305058623	1.4816045409242156	-0.2803019651541584	Frankel_US;Lee_Manchester;Lee_PRIMM_NL;Lee_PRIMM_UK;Matson_US
PRIMARY	domain	CLR_HEDGES_G	s__Actinomyces_oris	6	-0.2861929880866042	0.16610364927979152	-0.7131760117581413	0.14079003558493286	0.14550238047676814	0.9899399288667535	0.04310541783276426	7.0515170244262775	0.2168370321791324	29.093271948715067	-1.0244133520900522	0.4520273759168437	2	4	0	0.6666666666666666	0	1	-0.7698817875142079	0.3028284391575429	-0.2994705280820129	Frankel_US;Lee_Leeds;Lee_Manchester;Lee_PRIMM_NL;Lee_PRIMM_UK;Matson_US
PRIMARY	domain	PRESENCE_LOG_OR	s__Actinomyces_oris	6	-0.28850571130463337	0.34059553198348835	-1.164034399120276	0.5870229765110093	0.43561831053577116	0.9996325270282626	3.9184439031450335e-11	5.0184157283401705	0.41363684490704417	0.3669629886613923	-1.2341505090921387	0.6571390864828721	3	3	0	0.5	0	0	-2.116044120657383	0.5108256237659907	-0.37096867236468867	Frankel_US;Lee_Leeds;Lee_Manchester;Lee_PRIMM_NL;Lee_PRIMM_UK;Matson_US
PRIMARY	domain	CLR_HEDGES_G	s__Actinomyces_sp_HMSC035G02	4	-0.2348226350841108	0.1559489625465502	-0.7311218347532068	0.26147656458498514	0.22920439420470248	0.9899399288667535	5.697809150320588e-11	0.8280316439317731	0.8427511488293439	0.0	-0.9058168652726383	0.4361715951044166	0	4	0	1.0	0	0	-0.4062241760690569	-0.06827075040141636	-0.1978812927325303	Frankel_US;Lee_Manchester;Lee_PRIMM_NL;Lee_PRIMM_UK
PRIMARY	domain	PRESENCE_LOG_OR	s__Actinomyces_sp_HMSC035G02	4	-0.4920799902098872	0.3992676257607726	-1.7627277706316562	0.7785677902118819	0.30555906270726807	0.9996325270282626	6.173707322532531e-11	1.4675716432169321	0.6897747446538396	0.0	-2.2099899304227124	1.2258299500029382	1	3	0	0.75	0	0	-1.0788096613719298	0.09531017980432493	-0.5756814270268193	Frankel_US;Lee_Manchester;Lee_PRIMM_NL;Lee_PRIMM_UK
PRIMARY	domain	CLR_HEDGES_G	s__Actinomyces_sp_ICM47	6	0.13951007739765486	0.1354163699590366	-0.20858878346685172	0.48760893826216145	0.35013545898450293	0.9899399288667535	4.729046987699475e-11	0.995766040490893	0.9629065478764908	0.0	-0.2364660406235647	0.5154861954188744	4	2	0	0.6666666666666666	0	0	-0.06938097876720901	0.3182483031298868	0.17660502968744315	Frankel_US;Lee_Leeds;Lee_Manchester;Lee_PRIMM_NL;Lee_PRIMM_UK;Matson_US
PRIMARY	domain	PRESENCE_LOG_OR	s__Actinomyces_sp_ICM47	6	0.36932835708999995	0.292869725528306	-0.3835172395608564	1.1221739537408564	0.2629234765535034	0.9996325270282626	5.924604627948341e-11	1.0330159766194094	0.9598590902808155	0.0	-0.4438083590945168	1.1824650732745168	5	1	0	0.8333333333333334	0	0	-0.10536051565782628	0.7184649885442351	0.3398319151113292	Frankel_US;Lee_Leeds;Lee_Manchester;Lee_PRIMM_NL;Lee_PRIMM_UK;Matson_US
PRIMARY	domain	CLR_HEDGES_G	s__Actinomyces_sp_ICM58	5	0.05661540504439073	0.14138010413172525	-0.3359186930444922	0.4491495031332736	0.7092925552728978	0.9899399288667535	5.7064877621134645e-11	2.3908437294772904	0.6642825830365908	0.0	-0.39331918563250534	0.5065499957212868	3	2	0	0.6	0	0	-0.2960704699702833	0.33257139606320685	0.05723200808477097	Frankel_US;Lee_Manchester;Lee_PRIMM_NL;Lee_PRIMM_UK;Matson_US
