scenario	analysis_level	group	species	effect_type	n	responders	non_responders	prevalence	responder_prevalence	non_responder_prevalence	pseudocount	effect	variance	se	ci_low	ci_high	responder_mean	non_responder_mean
PRIMARY	domain	Frankel_US	s__Acidaminococcus_intestini	CLR_HEDGES_G	39	24	15	0.38461538461538464	0.375	0.4	1.13823473906e-07	-0.19548621476546527	0.10884975036256753	0.32992385540085994	-0.8421369713511507	0.45116454182022026	1.6040863219306936	2.4046500796288077
PRIMARY	domain	Frankel_US	s__Acidaminococcus_intestini	PRESENCE_LOG_OR	39	24	15	0.38461538461538464	0.375	0.4	1.13823473906e-07	-0.10536051565782628	0.45555555555555555	0.6749485577105528	-1.42825968877051	1.2175386574548572		
PRIMARY	domain	Frankel_US	s__Actinobaculum_sp_oral_taxon_183	CLR_HEDGES_G	39	24	15	0.10256410256410256	0.125	0.06666666666666667	1.13823473906e-07	0.00805017412158694	0.10833420908067641	0.329141624655218	-0.6370674102026403	0.6531677584458142	-0.28462078879003333	-0.2996187063227209
PRIMARY	domain	Frankel_US	s__Actinobaculum_sp_oral_taxon_183	PRESENCE_LOG_OR	39	24	15	0.10256410256410256	0.125	0.06666666666666667	1.13823473906e-07	0.6931471805599453	1.4523809523809523	1.2051476890327395	-1.6689422899442241	3.055236651064115		
PRIMARY	domain	Frankel_US	s__Actinomyces_SGB17154	CLR_HEDGES_G	39	24	15	0.3333333333333333	0.2916666666666667	0.4	1.13823473906e-07	-0.26521534838276223	0.10928386280654671	0.33058109868313207	-0.913154301801701	0.3827236050361766	0.9757361638964862	1.8402715541802968
PRIMARY	domain	Frankel_US	s__Actinomyces_SGB17154	PRESENCE_LOG_OR	39	24	15	0.3333333333333333	0.2916666666666667	0.4	1.13823473906e-07	-0.4818380868927383	0.47945845004668536	0.692429382714718	-1.8389996770135855	0.8753235032281088		
PRIMARY	domain	Frankel_US	s__Actinomyces_SGB17157	CLR_HEDGES_G	39	24	15	0.20512820512820512	0.16666666666666666	0.26666666666666666	1.13823473906e-07	-0.3439941221070526	0.10993241382041714	0.3315605733805169	-0.9938528459328657	0.3058646017187605	0.08798151092276359	0.991133586481498
PRIMARY	domain	Frankel_US	s__Actinomyces_SGB17157	PRESENCE_LOG_OR	39	24	15	0.20512820512820512	0.16666666666666666	0.26666666666666666	1.13823473906e-07	-0.5978370007556204	0.640909090909091	0.8005679801922452	-2.1669502419324207	0.9712762404211801		
PRIMARY	domain	Frankel_US	s__Actinomyces_SGB17163	CLR_HEDGES_G	39	24	15	0.1794871794871795	0.20833333333333334	0.13333333333333333	1.13823473906e-07	0.19394424824021222	0.10884163564989362	0.32991155731482585	-0.4526824040968464	0.8405709005772708	0.1776525945360478	-0.2082483802295389
PRIMARY	domain	Frankel_US	s__Actinomyces_SGB17163	PRESENCE_LOG_OR	39	24	15	0.1794871794871795	0.20833333333333334	0.13333333333333333	1.13823473906e-07	0.5368011101692514	0.8295546558704454	0.9107989107758339	-1.248364754951383	2.321966975289886		
PRIMARY	domain	Frankel_US	s__Actinomyces_SGB17168	CLR_HEDGES_G	39	24	15	0.28205128205128205	0.3333333333333333	0.2	1.13823473906e-07	0.08817058530388801	0.10843838809161482	0.329299845265094	-0.5572571114156962	0.7335982820234722	1.0585413365990994	0.784854149944901
PRIMARY	domain	Frankel_US	s__Actinomyces_SGB17168	PRESENCE_LOG_OR	39	24	15	0.28205128205128205	0.3333333333333333	0.2	1.13823473906e-07	0.6931471805599453	0.6041666666666666	0.7772815877574012	-0.8303247314445611	2.2166190925644518		
PRIMARY	domain	Frankel_US	s__Actinomyces_dentalis	CLR_HEDGES_G	39	24	15	0.15384615384615385	0.08333333333333333	0.26666666666666666	1.13823473906e-07	-0.5049670292219345	0.1117791671252418	0.3343339156071992	-1.160261503812045	0.150327445368176	-0.4005851069905601	0.6638689993965791
