scenario	species	full_pooled_effect	full_I2	full_fdr_q	influential_omitted_domain	max_abs_loo_delta	pooled_effect_after_influential_omission	signed_loo_delta	any_leave_one_domain_sign_flip	largest_absolute_effect_domain	largest_absolute_domain_effect	dominant_domain_absolute_effect_share
S2_BCN12_AS_NR	s__GGB3034_SGB4030	0.18579138765648937	0.0	0.9914012814622465	Lee_PRIMM_NL	0.10447486487583725	0.08131652278065211	-0.10447486487583725	0	Lee_PRIMM_NL	0.4710516858157601	0.3591004111321901
S2_BCN12_AS_NR	s__GGB3109_SGB4119	0.09183662406648663	0.0	0.9914012814622465	Gopalakrishnan_US	0.0674270937830906	0.024409530283396028	-0.0674270937830906	0	Gopalakrishnan_US	0.4430752111081643	0.8337421783779448
S2_BCN12_AS_NR	s__GGB3277_SGB4327	-0.1427178727664239	0.0	0.9914012814622465	Lee_PRIMM_UK	0.10044022416885529	-0.042277648597568614	0.10044022416885529	0	Lee_PRIMM_UK	-0.4304113952130675	0.3684109577094502
S2_BCN12_AS_NR	s__GGB3304_SGB4367	0.07047190958687129	0.0	0.9914012814622465	Lee_PRIMM_UK	0.08370262969790063	-0.013230720111029342	-0.08370262969790063	1	Lee_PRIMM_UK	0.4162947256878811	0.33515607536174497
S2_BCN12_AS_NR	s__GGB3444_SGB4594	-0.20843058233878325	2.0415433592180836	0.9914012814622465	Matson_US	0.07686362474163494	-0.2852942070804182	-0.07686362474163494	0	Lee_Leeds	-0.9957169991970487	0.5818171063029551
S2_BCN12_AS_NR	s__GGB3475_SGB4638	0.1308568906789167	0.0	0.9914012814622465	Spencer_US	0.16281848323010434	0.29367537390902104	0.16281848323010434	0	Frankel_US	0.40657349157362965	0.37912756542350073
S2_BCN12_AS_NR	s__GGB3534_SGB4722	-0.08139498362789306	0.0	0.9914012814622465	Lee_PRIMM_NL	0.035212098080899576	-0.046182885546993485	0.035212098080899576	0	Lee_Leeds	0.31309899264329183	0.31085299225686436
S2_BCN12_AS_NR	s__GGB3570_SGB4777	0.14684802401502303	0.0	0.9914012814622465	Lee_PRIMM_UK	0.1407671290009771	0.006080895014045926	-0.1407671290009771	0	Lee_PRIMM_UK	0.5213843650886311	0.5409315817984476
S2_BCN12_AS_NR	s__GGB3602_SGB4574	0.0814565021492804	0.0	0.9914012814622465	Matson_US	0.09047861111714654	0.17193511326642694	0.09047861111714654	0	Gopalakrishnan_US	0.38630963538907964	0.4232441194013742
S2_BCN12_AS_NR	s__GGB45491_SGB63163	-0.12607202038575618	0.0	0.9914012814622465	Frankel_US	0.07378501394707532	-0.1998570343328315	-0.07378501394707532	0	Matson_US	-0.3430969488155798	0.28722138355624033
S2_BCN12_AS_NR	s__GGB45495_SGB63167	0.005064198461828188	53.50445785872435	0.9927638329902597	Lee_Manchester	0.20787436820945016	0.21293856667127833	0.20787436820945016	1	Lee_Manchester	-0.8998427374964737	0.4783868056446869
S2_BCN12_AS_NR	s__GGB51510_SGB71883	-0.06428126062035001	0.0	0.9914012814622465	Spencer_US	0.09050026628701745	0.02621900566666743	0.09050026628701745	1	Matson_US	0.24792410590287434	0.39633919683435365
S2_BCN12_AS_NR	s__GGB80011_SGB15265	0.09851294202953334	22.552236727260773	0.9914012814622465	Matson_US	0.08915194928245312	0.18766489131198646	0.08915194928245312	0	Lee_Leeds	-0.6517633282288956	0.2457000727239941
S2_BCN12_AS_NR	s__GGB80011_SGB15267	-0.14320846712063698	0.0	0.9914012814622465	Lee_Manchester	0.07325053352692301	-0.21645900064756	-0.07325053352692301	0	Lee_Manchester	0.27242366497103804	0.2949901693082409
S2_BCN12_AS_NR	s__GGB80140_SGB15224	0.13393150792530567	0.0	0.9914012814622465	Lee_PRIMM_UK	0.07033359616045202	0.06359791176485365	-0.07033359616045202	0	Lee_Barcelona	-0.7615421410741193	0.36121999865163074
S2_BCN12_AS_NR	s__GGB9063_SGB13982	-0.1988192912159606	28.20948137890133	0.9914012814622465	Matson_US	0.13935725174903224	-0.33817654296499283	-0.13935725174903224	0	Lee_Barcelona	-0.9344989683531749	0.3527098241871256
S2_BCN12_AS_NR	s__GGB9176_SGB14114	0.20400564388277548	11.428105163103787	0.9914012814622465	Lee_PRIMM_NL	0.06818732419759385	0.13581831968518163	-0.06818732419759385	0	Gopalakrishnan_US	0.7372998131006138	0.22526526815256154
S2_BCN12_AS_NR	s__GGB9293_SGB14250	0.24998797769930794	0.0	0.9914012814622465	Lee_PRIMM_UK	0.09444749698182409	0.15554048071748386	-0.09444749698182409	0	Lee_PRIMM_UK	0.4982559588907008	0.3186196280946835
S2_BCN12_AS_NR	s__GGB9345_SGB14311	0.20226810520523397	12.841708940762006	0.9914012814622465	Lee_PRIMM_UK	0.06617148504365383	0.13609662016158014	-0.06617148504365383	0	Lee_Barcelona	-1.2144857293187936	0.3513901071005744
S2_BCN12_AS_NR	s__GGB9474_SGB14868	-0.09095299620560318	57.90141338880276	0.9914012814622465	Frankel_US	0.2638790016375019	-0.35483199784310504	-0.2638790016375019	1	Frankel_US	0.6785252179374032	0.39707029529726445
S2_BCN12_AS_NR	s__GGB9480_SGB14874	-0.1457726216132566	0.0	0.9914012814622465	Frankel_US	0.06078806599620046	-0.20656068760945706	-0.06078806599620046	0	Matson_US	-0.2970270900862479	0.2880147950244934
S2_BCN12_AS_NR	s__GGB9495_SGB14892	-0.13986147423513734	0.0	0.9914012814622465	Lee_PRIMM_UK	0.02878726189873504	-0.16864873613387238	-0.02878726189873504	0	Frankel_US	-0.28132705367033795	0.4715395065707533
S2_BCN12_AS_NR	s__GGB9524_SGB14924	0.07176339677820129	42.614007915691815	0.9914012814622465	Frankel_US	0.14014300358344342	0.2119064003616447	0.14014300358344342	0	Frankel_US	-0.7317048536715615	0.25642071869565297
S2_BCN12_AS_NR	s__GGB9616_SGB15051	-0.2075083984973714	0.0	0.9914012814622465	Lee_Manchester	0.08045137130258057	-0.28795976979995197	-0.08045137130258057	0	Lee_Barcelona	-0.6531506611917535	0.32593903547490766
S2_BCN12_AS_NR	s__GGB9621_SGB15073	-0.12508752228521483	0.0	0.9914012814622465	Spencer_US	0.1027716379782525	-0.22785916026346734	-0.1027716379782525	0	Lee_Leeds	-0.7189463856432561	0.31603312302082903
S2_BCN12_AS_NR	s__GGB9627_SGB15081	0.17458238926771108	0.0	0.9914012814622465	Matson_US	0.07074278550380544	0.10383960376390564	-0.07074278550380544	0	Matson_US	0.6934471526260216	0.32826230244593124
S2_BCN12_AS_NR	s__GGB9642_SGB15119	-0.21623141462391457	0.0	0.9914012814622465	Lee_PRIMM_UK	0.08334514045005129	-0.29957655507396586	-0.08334514045005129	0	Lee_Leeds	-0.9044781642918165	0.5743210269107403
S2_BCN12_AS_NR	s__GGB9694_SGB15204	0.20857332761590697	0.0	0.9914012814622465	Lee_PRIMM_UK	0.05811341004835413	0.2666867376642611	0.05811341004835413	0	Matson_US	0.45078771707744203	0.3806974195720218
S2_BCN12_AS_NR	s__GGB9719_SGB15273	0.057833143606208025	0.0	0.9914012814622465	Lee_PRIMM_NL	0.07476169135256983	0.13259483495877786	0.07476169135256983	0	Lee_PRIMM_NL	-0.32415149736953996	0.25226037891286374
S2_BCN12_AS_NR	s__GGB9719_SGB53514	-0.006041281664064539	0.0	0.9927638329902597	Frankel_US	0.06304037481846748	0.05699909315440295	0.06304037481846748	1	Lee_Barcelona	0.2716357107176786	0.500418690270748
S2_BCN12_AS_NR	s__GGB9759_SGB15370	0.21434695794148062	0.0	0.9914012814622465	Frankel_US	0.02744573336638359	0.18690122457509703	-0.02744573336638359	0	Frankel_US	0.4180022499388857	0.21556849468115502
S2_BCN12_AS_NR	s__GGB9767_SGB15385	-0.0356857202126793	52.121571676710346	0.9914012814622465	Lee_PRIMM_UK	0.1470168711331913	-0.1827025913458706	-0.1470168711331913	1	Lee_Manchester	-0.6401851225130712	0.31407403942671763
S2_BCN12_AS_NR	s__GGB9781_SGB15402	0.09318130231705442	0.0	0.9914012814622465	Lee_PRIMM_UK	0.04618021629918786	0.04700108601786656	-0.04618021629918786	0	Lee_PRIMM_UK	0.24523039108370046	0.4857680096827545
S2_BCN12_AS_NR	s__GGB9782_SGB15403	-0.10009195062911294	27.353163251695946	0.9914012814622465	Lee_PRIMM_NL	0.12424375129348805	-0.224335701922601	-0.12424375129348805	1	Lee_Barcelona	-1.1881865519242656	0.5850114204338354
S2_BCN12_AS_NR	s__Gordonibacter_pamelaeae	-0.1283763264646773	26.088652141538386	0.9914012814622465	Lee_PRIMM_NL	0.1331535660707391	-0.2615298925354164	-0.1331535660707391	1	Matson_US	-0.7849214971499117	0.37904693096009917
S2_BCN12_AS_NR	s__Haemophilus_parainfluenzae	-0.058486769273774615	52.60936764522237	0.9914012814622465	Lee_PRIMM_UK	0.13051406197028598	0.07202729269651137	0.13051406197028598	1	Lee_PRIMM_UK	-0.8959438398529346	0.3280966964160013
S2_BCN12_AS_NR	s__Harryflintia_acetispora	0.13191048790886464	0.0	0.9914012814622465	Lee_PRIMM_UK	0.05505030985172024	0.18696079776058488	0.05505030985172024	0	Lee_Barcelona	0.6020162650628527	0.34055151688764856
S2_BCN12_AS_NR	s__Holdemania_filiformis	-0.08874290101633245	57.438902957629445	0.9914012814622465	Spencer_US	0.11300320311352757	-0.20174610412986002	-0.11300320311352757	0	Lee_Manchester	-0.8069110671177159	0.2091409958046989
S2_BCN12_AS_NR	s__Holdemania_massiliensis	-0.26834455293236575	0.0	0.9914012814622465	Spencer_US	0.07229439771875218	-0.19605015521361358	0.07229439771875218	0	Spencer_US	-0.4210445771060383	0.23004469531595143
S2_BCN12_AS_NR	s__Hungatella_hathewayi	-0.22589605664519788	0.0	0.9914012814622465	Spencer_US	0.05608559968383289	-0.28198165632903077	-0.05608559968383289	0	Lee_PRIMM_NL	-0.47825548009679186	0.21742019284682979
S2_BCN12_AS_NR	s__Klebsiella_pneumoniae	-0.03781367180087146	60.356427232887874	0.9914012814622465	Lee_Manchester	0.11885982095168694	-0.1566734927525584	-0.11885982095168694	1	Lee_Manchester	1.1557925327616765	0.3748269520339641
S2_BCN12_AS_NR	s__Lachnotalea_sp_AF33_28	-0.20428965298405902	0.0	0.9914012814622465	Matson_US	0.05194097508813264	-0.15234867789592638	0.05194097508813264	0	Matson_US	-0.5169156710467935	0.43450614434568485
S2_BCN12_AS_NR	s__Lacrimispora_celerecrescens	0.2420762871380336	0.0	0.9914012814622465	Spencer_US	0.07281431516682799	0.3148906023048616	0.07281431516682799	0	Lee_PRIMM_UK	0.6146499582616471	0.22566138824746887
S2_BCN12_AS_NR	s__Lactococcus_lactis	0.2200643404549464	0.0	0.9914012814622465	Matson_US	0.06026756954399473	0.28033190999894114	0.06026756954399473	0	Lee_Leeds	0.5339066577740328	0.307014085912597
S2_BCN12_AS_NR	s__Lactonifactor_sp_BIOML_A6	-0.18681970179216184	0.0	0.9914012814622465	Lee_PRIMM_UK	0.029672628579874738	-0.1571470732122871	0.029672628579874738	0	Lee_PRIMM_UK	-0.2432532449241118	0.3349563313478183
S2_BCN12_AS_NR	s__Lancefieldella_parvula	-0.33403911981764195	0.0	0.9914012814622465	Frankel_US	0.10376771636011367	-0.23027140345752828	0.10376771636011367	0	Frankel_US	-0.7741154546849774	0.49286452550615434
S2_BCN12_AS_NR	s__Longicatena_caecimuris	0.12680451571050663	0.0	0.9914012814622465	Spencer_US	0.07617906793400286	0.2029835836445095	0.07617906793400286	0	Frankel_US	0.42196988888278614	0.36845740198947124
S2_BCN12_AS_NR	s__Massilimicrobiota_sp_An134	0.0058366412558289085	51.006527883758444	0.9927638329902597	Lee_PRIMM_NL	0.1361084105446977	0.1419450518005266	0.1361084105446977	1	Lee_Leeds	0.8766024545430693	0.41878549711747187
S2_BCN12_AS_NR	s__Massilimicrobiota_timonensis	-0.21983342268434442	0.0	0.9914012814622465	Lee_PRIMM_NL	0.09749672148176206	-0.12233670120258236	0.09749672148176206	0	Lee_PRIMM_NL	-0.5007955987775622	0.36616074935891235
S2_BCN12_AS_NR	s__Mediterraneibacter_butyricigenes	0.18937005212881172	21.476615514524962	0.9914012814622465	Lee_PRIMM_UK	0.11451805976922408	0.07485199235958764	-0.11451805976922408	0	Lee_PRIMM_UK	0.9170873397934556	0.4443173629494931
S2_BCN12_AS_NR	s__Mogibacterium_kristiansenii	-0.07129331044389471	63.5287664270222	0.9914012814622465	Lee_Manchester	0.2550147358384158	-0.32630804628231047	-0.2550147358384158	1	Lee_Manchester	0.8158780753443641	0.42106453394562565
S2_BCN12_AS_NR	s__Oscillibacter_sp_NSJ_62	-0.10139912296238433	0.0	0.9914012814622465	Lee_PRIMM_UK	0.05694848949869044	-0.04445063346369389	0.05694848949869044	0	Lee_PRIMM_UK	-0.24109796465055014	0.6294733216701416
S2_BCN12_AS_NR	s__Parabacteroides_merdae	0.2509794596102472	11.48542674658925	0.9914012814622465	Gopalakrishnan_US	0.07131416516934758	0.3222936247795948	0.07131416516934758	0	Gopalakrishnan_US	-0.6741928754047419	0.18844033900145402
S2_BCN12_AS_NR	s__Phascolarctobacterium_SGB4573	-0.10690534014692896	56.60269037705143	0.9914012814622465	Gopalakrishnan_US	0.13725305730096235	0.030347717154033386	0.13725305730096235	1	Gopalakrishnan_US	-0.8856317235851967	0.45159470533439017
