train_domain	Frankel_US	Gopalakrishnan_US	Lee_Leeds	Lee_PRIMM_NL	Lee_PRIMM_UK	Matson_US	Spencer_US
Frankel_US		0.6298701298701298	0.16249999999999998	0.5358126721763086	0.48629148629148633	0.3630952380952381	0.5314192849404117
Gopalakrishnan_US	0.46944444444444444		0.35	0.7052341597796143	0.6002886002886003	0.5535714285714286	0.47778981581798485
Lee_Leeds	0.38055555555555554	0.4805194805194805		0.4476584022038567	0.5281385281385281	0.34523809523809523	0.4756229685807151
Lee_PRIMM_NL	0.4611111111111111	0.44805194805194803	0.4875		0.5714285714285715	0.5595238095238095	0.5140845070422535
Lee_PRIMM_UK	0.41388888888888886	0.6168831168831168	0.7375	0.6584022038567493		0.5148809523809523	0.5465872156013001
Matson_US	0.5277777777777778	0.6688311688311688	0.7375	0.36914600550964183	0.49350649350649356		0.47562296858071507
Spencer_US	0.4444444444444444	0.4155844155844156	0.55	0.5041322314049587	0.4314574314574315	0.6071428571428572	
