scenario	model	train_domain	test_domain	train_n	test_n	train_responders	train_non_responders	test_responders	test_non_responders	selected_features	pseudocount	locked_params	roc_auc	roc_auc_ci_low	roc_auc_ci_high	roc_auc_bootstrap_valid	pr_auc	brier	balanced_accuracy	sensitivity	specificity	log_loss	train_study_family	test_study_family	same_study_family	train_country	test_country	same_country	train_macro_region	test_macro_region	same_macro_region	train_treatment_scope_group	test_treatment_scope_group	same_treatment_scope_group	known_combination_ici_fraction_difference	absolute_response_rate_difference	log_train_n	log_test_n	aitchison_centroid_distance	bray_curtis_centroid_distance	jensen_shannon_distance	prevalence_l1_distance
PRIMARY	elastic_net	Gopalakrishnan_US	Lee_Leeds	25	18	14	11	10	8	386	2.5004030649745586e-07	"{""C"": 0.2, ""l1_ratio"": 0.75}"	0.35	0.10593750000000002	0.6000000000000001	500	0.5056395891690009	0.28929104561054825	0.3	0.6	0.0	0.7749046157891973	Gopalakrishnan_2018	Lee_2022_family	0	United_States	United_Kingdom	0	North_America	Europe	0	anti_PD1_only	mixed_ICI_including_combination	0	nan	0.004444444444444473	3.2188758248682006	2.8903717578961645	2.0440113218725884	0.6134426055677813	0.5216269539720565	0.08646107331821616
PRIMARY	elastic_net	Gopalakrishnan_US	Lee_Manchester	25	25	14	11	12	13	386	2.5004030649745586e-07	"{""C"": 0.2, ""l1_ratio"": 0.75}"	0.5448717948717949	0.29791666666666666	0.7790064102564103	500	0.6551257143462521	0.2515168816977083	0.40705128205128205	0.5833333333333334	0.23076923076923078	0.6958777079699877	Gopalakrishnan_2018	Lee_2022_family	0	United_States	United_Kingdom	0	North_America	Europe	0	anti_PD1_only	mixed_ICI_including_combination	0	nan	0.08000000000000007	3.2188758248682006	3.2188758248682006	2.156186223234672	0.7155554538377515	0.6032222163102883	0.08168707482993197
PRIMARY	elastic_net	Gopalakrishnan_US	Lee_PRIMM_NL	25	55	14	11	33	22	386	2.5004030649745586e-07	"{""C"": 0.2, ""l1_ratio"": 0.75}"	0.709366391184573	0.552995867768595	0.8389118457300274	500	0.8041104172051998	0.22747649918905521	0.5984848484848485	0.8787878787878788	0.3181818181818182	0.6474553810266924	Gopalakrishnan_2018	Lee_2022_family	0	United_States	Netherlands	0	North_America	Europe	0	anti_PD1_only	mixed_ICI_including_combination	0	0.22	0.039999999999999925	3.2188758248682006	4.007333185232471	2.1884513111812445	0.7745689314443972	0.6511689475893659	0.07338528138528139
PRIMARY	elastic_net	Gopalakrishnan_US	Lee_PRIMM_UK	25	54	14	11	33	21	386	2.5004030649745586e-07	"{""C"": 0.2, ""l1_ratio"": 0.75}"	0.598845598845599	0.42781385281385287	0.7532467532467533	500	0.7002902149171216	0.23303331103408537	0.577922077922078	0.7272727272727273	0.42857142857142855	0.6582460963978536	Gopalakrishnan_2018	Lee_2022_family	0	United_States	United_Kingdom	0	North_America	Europe	0	anti_PD1_only	mixed_ICI_including_combination	0	0.53	0.05111111111111111	3.2188758248682006	3.9889840465642745	2.0629884886791996	0.7029774214674973	0.5924470851118022	0.07848122952884858
PRIMARY	elastic_net	Gopalakrishnan_US	Matson_US	25	38	14	11	14	24	386	2.5004030649745586e-07	"{""C"": 0.2, ""l1_ratio"": 0.75}"	0.5535714285714286	0.3465029761904762	0.738095238095238	500	0.45914012647852875	0.2367942577854159	0.5625	0.5	0.625	0.6653771381620728	Gopalakrishnan_2018	Matson_2018	0	United_States	United_States	1	North_America	North_America	1	anti_PD1_only	anti_PD1_only	1	0.0	0.19157894736842113	3.2188758248682006	3.6375861597263857	1.1378781135158458	0.32940473391192715	0.35644838628752057	0.0470108604845447
PRIMARY	elastic_net	Gopalakrishnan_US	Spencer_US	25	97	14	11	71	26	386	2.5004030649745586e-07	"{""C"": 0.2, ""l1_ratio"": 0.75}"	0.47887323943661975	0.33768959913326113	0.6129604550379198	500	0.7203708272957581	0.2717727858422421	0.4856446370530877	0.39436619718309857	0.5769230769230769	0.7383369112320605	Gopalakrishnan_2018	Spencer_2021	0	United_States	United_States	1	North_America	North_America	1	anti_PD1_only	anti_PD1_based_unspecified_mix	0	nan	0.17195876288659784	3.2188758248682006	4.574710978503383	0.8663222398807107	0.3242323634033718	0.32656385568073787	0.033931879280921985
PRIMARY	elastic_net	Lee_Barcelona	Frankel_US	12	39	6	6	24	15	500	1.0246076956438827e-07	"{""C"": 0.2, ""l1_ratio"": 0.75}"	0.3416666666666667	0.16666666666666666	0.5320138888888888	500	0.5483132421433066	0.2527378395541598	0.42083333333333334	0.7083333333333334	0.13333333333333333	0.6986384320031487	Lee_2022_family	Frankel_2017	0	Spain	United_States	0	Europe	North_America	0	mixed_ICI_including_combination	mixed_ICI_including_combination	1	nan	0.11538461538461542	2.4849066497880004	3.6635616461296463	2.148005799674066	0.5625705120362823	0.5030899391825384	0.08056573056573058
PRIMARY	elastic_net	Lee_Barcelona	Gopalakrishnan_US	12	25	6	6	14	11	500	1.0246076956438827e-07	"{""C"": 0.2, ""l1_ratio"": 0.75}"	0.4935064935064935	0.2857142857142857	0.704707792207792	500	0.6613990446743845	0.2538449241144765	0.4383116883116883	0.7857142857142857	0.09090909090909091	0.701003213217083	Lee_2022_family	Gopalakrishnan_2018	0	Spain	United_States	0	Europe	North_America	0	mixed_ICI_including_combination	anti_PD1_only	0	nan	0.06000000000000005	2.4849066497880004	3.2188758248682006	1.7464261293987988	0.43864029899351553	0.4368346369614659	0.07725321239606954
PRIMARY	elastic_net	Lee_Barcelona	Lee_Leeds	12	18	6	6	10	8	500	1.0246076956438827e-07	"{""C"": 0.2, ""l1_ratio"": 0.75}"	0.6875	0.375	0.925	500	0.6792199467199467	0.23353433351242886	0.6625	0.7	0.625	0.6599638452131055	Lee_2022_family	Lee_2022_family	1	Spain	United_Kingdom	0	Europe	Europe	1	mixed_ICI_including_combination	mixed_ICI_including_combination	1	nan	0.05555555555555558	2.4849066497880004	2.8903717578961645	1.900081845184206	0.5949875337870366	0.5175184809533883	0.0664525069286974
PRIMARY	elastic_net	Lee_Barcelona	Lee_Manchester	12	25	6	6	12	13	500	1.0246076956438827e-07	"{""C"": 0.2, ""l1_ratio"": 0.75}"	0.5641025641025641	0.32692307692307687	0.7756410256410257	500	0.610987536428713	0.24818008900575617	0.5224358974358975	0.5833333333333334	0.46153846153846156	0.6895094357104761	Lee_2022_family	Lee_2022_family	1	Spain	United_Kingdom	0	Europe	Europe	1	mixed_ICI_including_combination	mixed_ICI_including_combination	1	nan	0.020000000000000018	2.4849066497880004	3.2188758248682006	2.2125872071199106	0.699237363642387	0.5968096276682744	0.0739697656840514
PRIMARY	elastic_net	Lee_Barcelona	Lee_PRIMM_NL	12	55	6	6	33	22	500	1.0246076956438827e-07	"{""C"": 0.2, ""l1_ratio"": 0.75}"	0.4380165289256199	0.28157713498622594	0.5833677685950414	500	0.6295010655339067	0.2552743995016467	0.43181818181818177	0.5454545454545454	0.3181818181818182	0.7037626221175213	Lee_2022_family	Lee_2022_family	1	Spain	Netherlands	0	Europe	Europe	1	mixed_ICI_including_combination	mixed_ICI_including_combination	1	nan	0.09999999999999998	2.4849066497880004	4.007333185232471	2.2654600312628763	0.7635200611439845	0.6434861265694625	0.0709798666941524
PRIMARY	elastic_net	Lee_Barcelona	Lee_PRIMM_UK	12	54	6	6	33	21	500	1.0246076956438827e-07	"{""C"": 0.2, ""l1_ratio"": 0.75}"	0.5512265512265513	0.38513708513708517	0.7043290043290044	500	0.6930941871124277	0.24433544649362174	0.5	0.6666666666666666	0.3333333333333333	0.6817523466997345	Lee_2022_family	Lee_2022_family	1	Spain	United_Kingdom	0	Europe	Europe	1	mixed_ICI_including_combination	mixed_ICI_including_combination	1	nan	0.11111111111111116	2.4849066497880004	3.9889840465642745	2.1906652798974484	0.6864949908918968	0.594816419606938	0.07321323591164862
PRIMARY	elastic_net	Lee_Barcelona	Matson_US	12	38	6	6	14	24	500	1.0246076956438827e-07	"{""C"": 0.2, ""l1_ratio"": 0.75}"	0.45535714285714285	0.25892857142857145	0.6744791666666664	500	0.4796595719934398	0.2641581399835484	0.47023809523809523	0.8571428571428571	0.08333333333333333	0.7215539759777864	Lee_2022_family	Matson_2018	0	Spain	United_States	0	Europe	North_America	0	mixed_ICI_including_combination	anti_PD1_only	0	nan	0.13157894736842107	2.4849066497880004	3.6375861597263857	1.9036925455120652	0.5117333886100498	0.4641582272842964	0.07052750924931375
PRIMARY	elastic_net	Lee_Barcelona	Spencer_US	12	97	6	6	71	26	500	1.0246076956438827e-07	"{""C"": 0.2, ""l1_ratio"": 0.75}"	0.4875406283856988	0.3575297941495124	0.6190547128927409	500	0.7156434236356329	0.24512564421330651	0.4815817984832069	0.7323943661971831	0.23076923076923078	0.683466552213408	Lee_2022_family	Spencer_2021	0	Spain	United_States	0	Europe	North_America	0	mixed_ICI_including_combination	anti_PD1_based_unspecified_mix	0	nan	0.2319587628865979	2.4849066497880004	4.574710978503383	1.391846202645219	0.4289819163420409	0.40151921943678875	0.059569784385690126
PRIMARY	elastic_net	Lee_Leeds	Frankel_US	18	39	10	8	24	15	500	1.0661815682701918e-07	"{""C"": 0.2, ""l1_ratio"": 0.75}"	0.38055555555555554	0.20409722222222224	0.5890277777777777	500	0.5362602682750525	0.2649882574430764	0.44166666666666665	0.75	0.13333333333333333	0.7253660050389247	Lee_2022_family	Frankel_2017	0	United_Kingdom	United_States	0	Europe	North_America	0	mixed_ICI_including_combination	mixed_ICI_including_combination	1	nan	0.05982905982905984	2.8903717578961645	3.6635616461296463	2.0000659164923533	0.43330674562958954	0.39824176658373817	0.06973855069093164
PRIMARY	elastic_net	Lee_Leeds	Gopalakrishnan_US	18	25	10	8	14	11	500	1.0661815682701918e-07	"{""C"": 0.2, ""l1_ratio"": 0.75}"	0.4805194805194805	0.24334415584415586	0.7272727272727273	500	0.625925380457667	0.26302312485081425	0.44805194805194803	0.7142857142857143	0.18181818181818182	0.7196620784144453	Lee_2022_family	Gopalakrishnan_2018	0	United_Kingdom	United_States	0	Europe	North_America	0	mixed_ICI_including_combination	anti_PD1_only	0	nan	0.004444444444444473	2.8903717578961645	3.2188758248682006	2.0440113218725884	0.6134426055677813	0.5216269539720565	0.08646107331821616
