term	standardized_coefficient	mrqap_p_two_sided	mrqap_p_prespecified_direction	prespecified_direction	permutations
intercept	0.4891214175105018	1.0	nan	not_prespecified	10000
aitchison_centroid_distance	-0.00949653405147705	0.6867313268673133	0.3183681631836816	negative	10000
same_study_family	0.033143839134184214	0.1578842115788421	0.0816918308169183	positive	10000
same_country	0.003998472407800033	0.8592140785921408	0.4253574642535746	positive	10000
same_treatment_scope_group	-0.025695632530815492	0.26207379262073793	0.8703129687031297	positive	10000
absolute_response_rate_difference	-0.006837376403612171	0.7343265673432656	nan	not_prespecified	10000
log_train_n	0.0062613963825427135	0.6678332166783322	nan	not_prespecified	10000
log_test_n	0.011962611757195554	0.49055094490550943	nan	not_prespecified	10000
