scenario	model	domain_a	domain_b	auc_a_to_b	auc_b_to_a	reciprocal_mean_auc	reciprocal_min_auc	reciprocal_max_auc	absolute_directional_asymmetry	train_size_difference_absolute	response_rate_difference_absolute	same_study_family	same_country	same_treatment_scope_group	aitchison_centroid_distance	bray_curtis_centroid_distance	jensen_shannon_distance	prevalence_l1_distance
PRIMARY	elastic_net	Frankel_US	Gopalakrishnan_US	0.6298701298701298	0.46944444444444444	0.5496572871572871	0.46944444444444444	0.6298701298701298	0.16042568542568536	14	0.055384615384615365	0	1	0	1.4601102198390727	0.5138555257100887	0.457773044074274	0.0727642304785162
PRIMARY	elastic_net	Frankel_US	Lee_Barcelona	0.3055555555555556	0.3416666666666667	0.3236111111111111	0.3055555555555556	0.3416666666666667	0.036111111111111094	27	0.11538461538461542	0	0	1	2.148005799674066	0.5625705120362823	0.5030899391825384	0.08056573056573058
PRIMARY	elastic_net	Frankel_US	Lee_Leeds	0.16249999999999998	0.38055555555555554	0.27152777777777776	0.16249999999999998	0.38055555555555554	0.21805555555555556	21	0.05982905982905984	0	0	1	2.0000659164923533	0.43330674562958954	0.39824176658373817	0.06973855069093164
PRIMARY	elastic_net	Frankel_US	Lee_Manchester	0.4935897435897436	0.4388888888888889	0.46623931623931625	0.4388888888888889	0.4935897435897436	0.05470085470085473	14	0.13538461538461544	0	0	1	2.0576633286376182	0.5284366611922444	0.4800730908319456	0.07087714402000117
PRIMARY	elastic_net	Frankel_US	Lee_PRIMM_NL	0.534435261707989	0.46388888888888885	0.4991620752984389	0.46388888888888885	0.534435261707989	0.0705463728191002	16	0.015384615384615441	0	0	1	2.1537283003203482	0.5362672870971259	0.49418965792965314	0.07240103811532383
PRIMARY	elastic_net	Frankel_US	Lee_PRIMM_UK	0.48773448773448774	0.41388888888888886	0.4508116883116883	0.41388888888888886	0.48773448773448774	0.07384559884559888	15	0.004273504273504258	0	0	1	1.822480321344653	0.5029369678988839	0.44529863877920617	0.06176134271372367
PRIMARY	elastic_net	Frankel_US	Matson_US	0.3630952380952381	0.5277777777777778	0.4454365079365079	0.3630952380952381	0.5277777777777778	0.1646825396825397	1	0.2469635627530365	0	1	0	1.0679491869084694	0.4539916266983753	0.38945877784631266	0.04694336574035822
PRIMARY	elastic_net	Frankel_US	Spencer_US	0.5319609967497291	0.44166666666666665	0.48681383170819786	0.44166666666666665	0.5319609967497291	0.09029433008306242	58	0.11657414750198247	0	1	0	1.37106100772541	0.4428438885729916	0.3915311991633044	0.059063371581780995
PRIMARY	elastic_net	Gopalakrishnan_US	Lee_Barcelona	0.33333333333333337	0.4935064935064935	0.41341991341991347	0.33333333333333337	0.4935064935064935	0.16017316017316013	13	0.06000000000000005	0	0	0	1.7464261293987988	0.43864029899351553	0.4368346369614659	0.07725321239606954
PRIMARY	elastic_net	Gopalakrishnan_US	Lee_Leeds	0.35	0.4805194805194805	0.4152597402597402	0.35	0.4805194805194805	0.13051948051948054	7	0.004444444444444473	0	0	0	2.0440113218725884	0.6134426055677813	0.5216269539720565	0.08646107331821616
PRIMARY	elastic_net	Gopalakrishnan_US	Lee_Manchester	0.5448717948717949	0.512987012987013	0.5289294039294039	0.512987012987013	0.5448717948717949	0.03188478188478194	0	0.08000000000000007	0	0	0	2.156186223234672	0.7155554538377515	0.6032222163102883	0.08168707482993197
PRIMARY	elastic_net	Gopalakrishnan_US	Lee_PRIMM_NL	0.709366391184573	0.44805194805194803	0.5787091696182605	0.44805194805194803	0.709366391184573	0.261314443132625	30	0.039999999999999925	0	0	0	2.1884513111812445	0.7745689314443972	0.6511689475893659	0.07338528138528139
PRIMARY	elastic_net	Gopalakrishnan_US	Lee_PRIMM_UK	0.598845598845599	0.6168831168831168	0.6078643578643579	0.598845598845599	0.6168831168831168	0.018037518037517852	29	0.05111111111111111	0	0	0	2.0629884886791996	0.7029774214674973	0.5924470851118022	0.07848122952884858
PRIMARY	elastic_net	Gopalakrishnan_US	Matson_US	0.5535714285714286	0.6688311688311688	0.6112012987012987	0.5535714285714286	0.6688311688311688	0.11525974025974017	13	0.19157894736842113	0	1	1	1.1378781135158458	0.32940473391192715	0.35644838628752057	0.0470108604845447
PRIMARY	elastic_net	Gopalakrishnan_US	Spencer_US	0.47887323943661975	0.4155844155844156	0.4472288275105177	0.4155844155844156	0.47887323943661975	0.06328882385220413	72	0.17195876288659784	0	1	0	0.8663222398807107	0.3242323634033718	0.32656385568073787	0.033931879280921985
PRIMARY	elastic_net	Lee_Barcelona	Lee_Leeds	0.6875	0.7777777777777779	0.732638888888889	0.6875	0.7777777777777779	0.0902777777777779	6	0.05555555555555558	1	0	1	1.900081845184206	0.5949875337870366	0.5175184809533883	0.0664525069286974
PRIMARY	elastic_net	Lee_Barcelona	Lee_Manchester	0.5641025641025641	0.2222222222222222	0.39316239316239315	0.2222222222222222	0.5641025641025641	0.3418803418803419	13	0.020000000000000018	1	0	1	2.2125872071199106	0.699237363642387	0.5968096276682744	0.0739697656840514
PRIMARY	elastic_net	Lee_Barcelona	Lee_PRIMM_NL	0.4380165289256199	0.5555555555555556	0.49678604224058776	0.4380165289256199	0.5555555555555556	0.1175390266299357	43	0.09999999999999998	1	0	1	2.2654600312628763	0.7635200611439845	0.6434861265694625	0.0709798666941524
PRIMARY	elastic_net	Lee_Barcelona	Lee_PRIMM_UK	0.5512265512265513	0.41666666666666663	0.48394660894660896	0.41666666666666663	0.5512265512265513	0.13455988455988466	42	0.11111111111111116	1	0	1	2.1906652798974484	0.6864949908918968	0.594816419606938	0.07321323591164862
PRIMARY	elastic_net	Lee_Barcelona	Matson_US	0.45535714285714285	0.3611111111111111	0.408234126984127	0.3611111111111111	0.45535714285714285	0.09424603174603174	26	0.13157894736842107	0	0	0	1.9036925455120652	0.5117333886100498	0.4641582272842964	0.07052750924931375
PRIMARY	elastic_net	Lee_Barcelona	Spencer_US	0.4875406283856988	0.75	0.6187703141928493	0.4875406283856988	0.75	0.2624593716143012	85	0.2319587628865979	0	0	0	1.391846202645219	0.4289819163420409	0.40151921943678875	0.059569784385690126
PRIMARY	elastic_net	Lee_Leeds	Lee_Manchester	0.49358974358974356	0.35	0.42179487179487174	0.35	0.49358974358974356	0.14358974358974358	7	0.0755555555555556	1	1	1	1.5545824937549038	0.47164689705627394	0.4330400701509546	0.05555555555555555
PRIMARY	elastic_net	Lee_Leeds	Lee_PRIMM_NL	0.45041322314049587	0.4875	0.4689566115702479	0.45041322314049587	0.4875	0.03708677685950412	37	0.0444444444444444	1	0	1	1.5566246650097413	0.4778931549680615	0.43468033313280113	0.058371927895737426
PRIMARY	elastic_net	Lee_Leeds	Lee_PRIMM_UK	0.5266955266955268	0.7375	0.6320977633477634	0.5266955266955268	0.7375	0.21080447330447327	36	0.05555555555555558	1	1	1	1.4223043524177503	0.4473893542658809	0.4113155539569585	0.05030654237003443
