scenario	model	predictor	statistic_type	prespecified_direction	observed_statistic	qap_p_two_sided	qap_p_prespecified_direction	permutations
S1_EXCLUDE_BCN12	random_forest	same_treatment_scope_group	mean_auc_relation_1_minus_0	positive	0.002280853160834817	0.9448055194480552	0.4343565643435656	10000
S1_EXCLUDE_BCN12	ridge	aitchison_centroid_distance	spearman_rho	negative	-0.08183287883657824	0.5860413958604139	0.29077092290770923	10000
S1_EXCLUDE_BCN12	ridge	bray_curtis_centroid_distance	spearman_rho	negative	0.052882567927411396	0.7192280771922808	0.6188381161883811	10000
S1_EXCLUDE_BCN12	ridge	jensen_shannon_distance	spearman_rho	negative	0.032263513157660365	0.8344165583441656	0.5682431756824318	10000
S1_EXCLUDE_BCN12	ridge	prevalence_l1_distance	spearman_rho	negative	-0.1366133004791461	0.3731626837316268	0.1835816418358164	10000
S1_EXCLUDE_BCN12	ridge	same_study_family	mean_auc_relation_1_minus_0	positive	-0.010588205104481108	0.8306169383061693	0.5689431056894311	10000
S1_EXCLUDE_BCN12	ridge	same_country	mean_auc_relation_1_minus_0	positive	-0.013150521606560939	0.7451254874512548	0.6192380761923808	10000
S1_EXCLUDE_BCN12	ridge	same_macro_region	mean_auc_relation_1_minus_0	positive	-0.011270426960647839	0.7631236876312368	0.5942405759424058	10000
S1_EXCLUDE_BCN12	ridge	same_treatment_scope_group	mean_auc_relation_1_minus_0	positive	-0.015253273199716033	0.6326367363263674	0.6601339866013398	10000
S2_BCN12_AS_NR	elastic_net	aitchison_centroid_distance	spearman_rho	negative	-0.19309857376414272	0.12138786121387861	0.0714928507149285	10000
S2_BCN12_AS_NR	elastic_net	bray_curtis_centroid_distance	spearman_rho	negative	-0.06150332717591886	0.6277372262773723	0.29887011298870114	10000
S2_BCN12_AS_NR	elastic_net	jensen_shannon_distance	spearman_rho	negative	-0.08244405206688286	0.5002499750024998	0.23997600239976002	10000
S2_BCN12_AS_NR	elastic_net	prevalence_l1_distance	spearman_rho	negative	-0.1758892222792491	0.17818218178182182	0.0898910108989101	10000
S2_BCN12_AS_NR	elastic_net	same_study_family	mean_auc_relation_1_minus_0	positive	0.015000144496660317	0.7512248775122488	0.35076492350764926	10000
S2_BCN12_AS_NR	elastic_net	same_country	mean_auc_relation_1_minus_0	positive	0.04730851172112366	0.1887811218878112	0.10178982101789821	10000
S2_BCN12_AS_NR	elastic_net	same_macro_region	mean_auc_relation_1_minus_0	positive	0.036917412006740535	0.21827817218278173	0.140985901409859	10000
S2_BCN12_AS_NR	elastic_net	same_treatment_scope_group	mean_auc_relation_1_minus_0	positive	-0.016268886829666318	0.6572342765723428	0.6539346065393461	10000
S2_BCN12_AS_NR	random_forest	aitchison_centroid_distance	spearman_rho	negative	-0.0626271586061257	0.6656334366563343	0.31586841315868414	10000
S2_BCN12_AS_NR	random_forest	bray_curtis_centroid_distance	spearman_rho	negative	0.049471273721736674	0.7317268273172682	0.5994400559944005	10000
S2_BCN12_AS_NR	random_forest	jensen_shannon_distance	spearman_rho	negative	0.028949379941198318	0.8306169383061693	0.5565443455654434	10000
S2_BCN12_AS_NR	random_forest	prevalence_l1_distance	spearman_rho	negative	-0.08372803998548803	0.587041295870413	0.29487051294870514	10000
S2_BCN12_AS_NR	random_forest	same_study_family	mean_auc_relation_1_minus_0	positive	-0.04781496819250436	0.30396960303969606	0.8454154584541546	10000
S2_BCN12_AS_NR	random_forest	same_country	mean_auc_relation_1_minus_0	positive	0.011719656375724086	0.7923207679232077	0.39466053394660533	10000
S2_BCN12_AS_NR	random_forest	same_macro_region	mean_auc_relation_1_minus_0	positive	-0.02470916583527616	0.5152484751524847	0.7409259074092591	10000
S2_BCN12_AS_NR	random_forest	same_treatment_scope_group	mean_auc_relation_1_minus_0	positive	-0.02437256301747942	0.5517448255174483	0.7163283671632836	10000
