train_domain	Frankel_US	Gopalakrishnan_US	Lee_Leeds	Lee_PRIMM_NL	Lee_PRIMM_UK	Matson_US	Spencer_US
Frankel_US		0.5584415584415584	0.38749999999999996	0.5564738292011019	0.46464646464646464	0.375	0.5335861321776815
Gopalakrishnan_US	0.48055555555555557		0.5375	0.6143250688705235	0.5541125541125541	0.43749999999999994	0.6061755146262188
Lee_Leeds	0.42500000000000004	0.5		0.5371900826446281	0.5238095238095238	0.4375	0.4859154929577465
Lee_PRIMM_NL	0.6527777777777777	0.6623376623376624	0.6375000000000001		0.6435786435786436	0.39285714285714285	0.457204767063922
Lee_PRIMM_UK	0.5444444444444445	0.5844155844155844	0.325	0.6005509641873279		0.43452380952380953	0.5314192849404117
Matson_US	0.475	0.47402597402597396	0.45	0.4462809917355372	0.49639249639249644		0.44962080173347774
Spencer_US	0.4444444444444444	0.6103896103896104	0.5375	0.5055096418732783	0.4098124098124098	0.4255952380952381	
