train_domain	Frankel_US	Gopalakrishnan_US	Lee_Barcelona	Lee_Leeds	Lee_Manchester	Lee_PRIMM_NL	Lee_PRIMM_UK	Matson_US	Spencer_US
Frankel_US		0.6298701298701298	0.23333333333333334	0.16249999999999998	0.4935897435897436	0.534435261707989	0.48629148629148633	0.3630952380952381	0.5319609967497291
Gopalakrishnan_US	0.46944444444444444		0.2666666666666667	0.35	0.5448717948717949	0.7066115702479339	0.598845598845599	0.5535714285714286	0.47887323943661975
Lee_Barcelona	0.35277777777777775	0.4610389610389611		0.6625	0.5576923076923076	0.418732782369146	0.5411255411255411	0.3869047619047619	0.4956663055254605
Lee_Leeds	0.38055555555555554	0.4805194805194805	0.7666666666666667		0.49358974358974356	0.45041322314049587	0.5252525252525253	0.34523809523809523	0.4761646803900325
Lee_Manchester	0.4388888888888889	0.512987012987013	0.23333333333333334	0.35		0.5426997245179064	0.6176046176046177	0.41369047619047616	0.45612134344528704
Lee_PRIMM_NL	0.4611111111111111	0.44805194805194803	0.5	0.4875	0.30769230769230765		0.572871572871573	0.5595238095238095	0.5130010834236186
Lee_PRIMM_UK	0.4111111111111111	0.6168831168831168	0.3	0.7375	0.3333333333333333	0.6584022038567493		0.5148809523809523	0.5465872156013001
Matson_US	0.5277777777777778	0.6688311688311688	0.3333333333333333	0.7375	0.34615384615384615	0.36914600550964183	0.49350649350649356		0.47724810400866735
Spencer_US	0.4444444444444444	0.4155844155844156	0.7	0.55	0.3269230769230769	0.5082644628099173	0.43001443001443007	0.6041666666666667	
