term	full_network_coefficient	jackknife_min_coefficient	jackknife_max_coefficient	jackknife_median_coefficient	sign_concordant_with_full_n	jackknife_n	min_two_sided_p	max_two_sided_p	any_two_sided_p_lt_0_05
intercept	0.4891214175105018	0.4767790050680577	0.5042739403580587	0.4861398158867636	9	9	1.0	1.0	False
aitchison_centroid_distance	-0.00949653405147705	-0.0427655011111157	0.006524932864807459	-0.008103035341415703	7	9	0.33486651334866513	0.9098090190980902	False
same_study_family	0.033143839134184214	-0.05030017800600192	0.05917650300126823	0.04052499091705707	8	9	0.012398760123987601	0.8905109489051095	True
same_country	0.003998472407800033	-0.025540793037332053	0.021293186670321422	0.0016755452858789668	5	9	0.3514648535146485	0.9319068093190681	False
same_treatment_scope_group	-0.025695632530815492	-0.05598193113708731	0.06289325662825504	-0.024581858185397952	8	9	0.026297370262973702	0.6453354664533547	True
absolute_response_rate_difference	-0.006837376403612171	-0.01974607002557051	0.008763041226747282	-0.00612461861418644	7	9	0.35976402359764026	0.9538046195380462	False
log_train_n	0.0062613963825427135	0.00043110987778175597	0.014923444834201445	0.007750862484900381	9	9	0.4223577642235776	0.9876012398760124	False
log_test_n	0.011962611757195554	-0.00011387406839027253	0.028735230905828295	0.00842276440857037	8	9	0.2034796520347965	0.9969003099690031	False
