term	standardized_coefficient	mrqap_p_two_sided	mrqap_p_prespecified_direction	prespecified_direction	permutations	removed_domain	node_n
same_treatment_scope_group	-0.05598193113708731	0.026297370262973702	0.9907009299070093	positive	10000	Matson_US	8
absolute_response_rate_difference	-0.01974607002557051	0.35976402359764026	nan	not_prespecified	10000	Matson_US	8
log_train_n	0.004483044507792335	0.7724227577242275	nan	not_prespecified	10000	Matson_US	8
log_test_n	0.02104695629017466	0.32426757324267574	nan	not_prespecified	10000	Matson_US	8
intercept	0.4860784395078228	1.0	nan	not_prespecified	10000	Spencer_US	8
aitchison_centroid_distance	0.006524932864807459	0.8127187281271873	0.573942605739426	negative	10000	Spencer_US	8
same_study_family	0.04052499091705707	0.1598840115988401	0.0805919408059194	positive	10000	Spencer_US	8
same_country	0.021228165292385	0.42745725427457254	0.2126787321267873	positive	10000	Spencer_US	8
same_treatment_scope_group	-0.030465166848617754	0.24027597240275972	0.8838116188381162	positive	10000	Spencer_US	8
absolute_response_rate_difference	-0.013319174679057522	0.5836416358364164	nan	not_prespecified	10000	Spencer_US	8
log_train_n	0.008335408626600475	0.6443355664433557	nan	not_prespecified	10000	Spencer_US	8
log_test_n	0.028735230905828295	0.2034796520347965	nan	not_prespecified	10000	Spencer_US	8
