predictor	full_network_statistic	jackknife_min_statistic	jackknife_max_statistic	jackknife_median_statistic	sign_concordant_with_full_n	jackknife_n	min_two_sided_p	max_two_sided_p	min_directional_p	max_directional_p	any_two_sided_p_lt_0_05	any_directional_p_lt_0_05
aitchison_centroid_distance	-0.1076603929138409	-0.20399721788403746	-0.05094888518416276	-0.08240584899438992	9	9	0.1351864813518648	0.7106289371062894	0.07039296070392961	0.36136386361363865	False	False
bray_curtis_centroid_distance	0.0022194703050657373	-0.08493615307139608	0.09786121984313027	-0.005812960054568906	4	9	0.46865313468653136	0.9733026697330267	0.2552744725527447	0.7499250074992501	False	False
jensen_shannon_distance	-0.009231709819621256	-0.08090134386752139	0.0759091223101849	-0.0194905131241428	6	9	0.5563443655634437	0.999000099990001	0.2672732726727327	0.6818318168183182	False	False
prevalence_l1_distance	-0.12213519925122615	-0.23251442869786368	-0.02345700351431923	-0.11365852367524983	9	9	0.09719028097190281	0.8595140485951405	0.05449455054494551	0.43925607439256076	False	False
same_study_family	0.03566913535592753	-0.004985364745942633	0.08562588045477121	0.03914907684433938	8	9	0.0448955104489551	0.9097090290970903	0.029097090290970903	0.5558444155584441	True	True
same_country	0.03078107845322242	0.015860383812310197	0.04649401428843564	0.03139909768773852	9	9	0.30456954304569545	0.7025297470252975	0.15798420157984203	0.31616838316168383	False	False
same_macro_region	0.045380851143095036	0.02044030587364465	0.06686817803675194	0.0439810033434993	9	9	0.11018898110188981	0.5137486251374862	0.0852914708529147	0.3197680231976802	False	False
same_treatment_scope_group	-0.0061385417559394195	-0.02664327429249108	0.03216309785980004	-0.00834919240569476	7	9	0.4046595340465953	1.0	0.20607939206079393	0.7090290970902909	False	False
