node_n	directed_pair_n	mean_directed_auc	median_directed_auc	directed_auc_sd	mean_abs_asymmetry	median_abs_asymmetry	pairs_ge_0_10	pairs_ge_0_20	max_abs_asymmetry	reciprocal_pair_n	analysis	removed_domain
9	72	0.48912141751050203	0.48763755806009323	0.12276166344900867	0.13379898316144578	0.11660526129156085	20	8	0.3922619047619048	36	FULL_9_DOMAIN_NETWORK	
8	56	0.5041111226727767	0.49354811854811853	0.12291560128960279	0.14100361948530504	0.12277050645328494	17	7	0.3922619047619048	28	LEAVE_ONE_DOMAIN_OUT_NETWORK	Frankel_US
8	56	0.480575036854189	0.48752031419284936	0.1263327415519523	0.13842356287595908	0.11660526129156085	15	7	0.3922619047619048	28	LEAVE_ONE_DOMAIN_OUT_NETWORK	Gopalakrishnan_US
8	56	0.4906357725511284	0.4906204906204906	0.11191642075958085	0.12783988172569657	0.11546561810646308	15	6	0.3922619047619048	28	LEAVE_ONE_DOMAIN_OUT_NETWORK	Lee_Barcelona
8	56	0.48613981588676347	0.4906204906204906	0.10775956671565988	0.12570680892944017	0.11546561810646308	15	5	0.3418803418803419	28	LEAVE_ONE_DOMAIN_OUT_NETWORK	Lee_Leeds
8	56	0.5042739403580587	0.4906204906204906	0.12264595589793524	0.1260208529403243	0.11546561810646308	15	5	0.3922619047619048	28	LEAVE_ONE_DOMAIN_OUT_NETWORK	Lee_Manchester
8	56	0.4837844286693632	0.4840300544525896	0.12915037818630787	0.1361761750154607	0.12183674111491008	16	6	0.3922619047619048	28	LEAVE_ONE_DOMAIN_OUT_NETWORK	Lee_PRIMM_NL
8	56	0.4767790050680576	0.4775189599133261	0.12587301114366486	0.13815730841521953	0.12277050645328494	16	6	0.3922619047619048	28	LEAVE_ONE_DOMAIN_OUT_NETWORK	Lee_PRIMM_UK
8	56	0.4897151960263585	0.48763755806009323	0.12483495387919877	0.1300016467029911	0.11660526129156085	15	7	0.3418803418803419	28	LEAVE_ONE_DOMAIN_OUT_NETWORK	Matson_US
8	56	0.48607843950782265	0.4906204906204906	0.13070732082387312	0.14086099236261573	0.12402925357470812	16	7	0.3922619047619048	28	LEAVE_ONE_DOMAIN_OUT_NETWORK	Spencer_US
